[2024-10-31T12:06:08.879+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-10-31T12:06:10.059+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-10-31T12:03:00+00:00 [queued]>
[2024-10-31T12:06:10.167+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-10-31T12:03:00+00:00 [queued]>
[2024-10-31T12:06:10.179+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-10-31T12:06:10.311+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-10-31 12:03:00+00:00
[2024-10-31T12:06:10.391+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-10-31T12:03:00+00:00', '--job-id', '232', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpbgrzvuoc']
[2024-10-31T12:06:10.399+0000] {standard_task_runner.py:91} INFO - Job 232: Subtask fetch_data_from_api
[2024-10-31T12:06:10.423+0000] {standard_task_runner.py:64} INFO - Started process 1820 to run task
[2024-10-31T12:06:10.762+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-10-31T12:03:00+00:00 [running]> on host fe69af9cb82f
[2024-10-31T12:06:11.312+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-10-31T12:03:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-10-31T12:03:00+00:00'
[2024-10-31T12:06:11.314+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-10-31T12:06:11.480+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.483+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.483+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.484+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.485+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.485+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.486+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.487+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.487+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.488+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.488+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.488+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.489+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.489+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.489+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:06:11.489+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
