[2024-10-31T12:39:44.625+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-10-31T12:39:45.419+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-10-31T12:33:00+00:00 [queued]>
[2024-10-31T12:39:45.666+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-10-31T12:33:00+00:00 [queued]>
[2024-10-31T12:39:45.670+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 1
[2024-10-31T12:39:47.190+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-10-31 12:33:00+00:00
[2024-10-31T12:39:47.329+0000] {standard_task_runner.py:64} INFO - Started process 228 to run task
[2024-10-31T12:39:47.428+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-10-31T12:33:00+00:00', '--job-id', '294', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmparx4vj0u']
[2024-10-31T12:39:47.442+0000] {standard_task_runner.py:91} INFO - Job 294: Subtask fetch_data_from_api
[2024-10-31T12:39:48.580+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-10-31T12:33:00+00:00 [running]> on host c42224a6ba27
[2024-10-31T12:39:50.386+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-10-31T12:33:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-10-31T12:33:00+00:00'
[2024-10-31T12:39:50.388+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-10-31T12:39:50.587+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.592+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.602+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.603+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.603+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.604+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.604+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.604+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.605+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.605+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.623+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.623+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.624+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.624+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.625+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.625+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.626+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.626+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.626+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.627+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.627+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.628+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.628+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.629+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.629+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.629+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.630+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.630+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.630+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.631+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.631+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
[2024-10-31T12:39:50.631+0000] {airflow_producer.py:43} ERROR - An error occured: 'PythonOperator' object is not callable
