[2024-11-01T07:36:06.840+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-01T07:36:07.042+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T07:33:00+00:00 [queued]>
[2024-11-01T07:36:07.109+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T07:33:00+00:00 [queued]>
[2024-11-01T07:36:07.115+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-01T07:36:07.607+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-01 07:33:00+00:00
[2024-11-01T07:36:07.652+0000] {standard_task_runner.py:64} INFO - Started process 6435 to run task
[2024-11-01T07:36:07.660+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-01T07:33:00+00:00', '--job-id', '252', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpn6p125w0']
[2024-11-01T07:36:07.664+0000] {standard_task_runner.py:91} INFO - Job 252: Subtask fetch_data_from_api
[2024-11-01T07:36:08.266+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T07:33:00+00:00 [running]> on host 0f30954d6a44
[2024-11-01T07:36:09.166+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-01T07:33:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-01T07:33:00+00:00'
[2024-11-01T07:36:09.175+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-01T07:36:09.227+0000] {logging_mixin.py:188} INFO - generating
[2024-11-01T07:36:09.231+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.87, 'humidity': 50.58, 'timestamp': '2024-11-01 07:36:09'}
[2024-11-01T07:36:09.239+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.87, 'humidity': 50.58, 'timestamp': '2024-11-01 07:36:09'}
[2024-11-01T07:36:09.247+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T07:36:09.268+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T07:36:09.279+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T07:36:09.287+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T07:36:09.288+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-01T07:36:10.320+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.87, 'humidity': 50.58, 'timestamp': '2024-11-01 07:36:09'}generating
[2024-11-01T07:36:10.324+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.85, 'humidity': 50.61, 'timestamp': '2024-11-01 07:36:10'}
[2024-11-01T07:36:10.333+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.85, 'humidity': 50.61, 'timestamp': '2024-11-01 07:36:10'}
[2024-11-01T07:36:11.366+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.85, 'humidity': 50.61, 'timestamp': '2024-11-01 07:36:10'}generating
[2024-11-01T07:36:11.371+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.18, 'humidity': 50.96, 'timestamp': '2024-11-01 07:36:11'}
[2024-11-01T07:36:11.376+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.18, 'humidity': 50.96, 'timestamp': '2024-11-01 07:36:11'}
[2024-11-01T07:36:12.414+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.18, 'humidity': 50.96, 'timestamp': '2024-11-01 07:36:11'}generating
[2024-11-01T07:36:12.425+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.95, 'humidity': 50.86, 'timestamp': '2024-11-01 07:36:12'}
[2024-11-01T07:36:12.431+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.95, 'humidity': 50.86, 'timestamp': '2024-11-01 07:36:12'}
[2024-11-01T07:36:13.460+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.95, 'humidity': 50.86, 'timestamp': '2024-11-01 07:36:12'}generating
[2024-11-01T07:36:13.463+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.12, 'humidity': 50.75, 'timestamp': '2024-11-01 07:36:13'}
[2024-11-01T07:36:13.465+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.12, 'humidity': 50.75, 'timestamp': '2024-11-01 07:36:13'}
[2024-11-01T07:36:14.592+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.12, 'humidity': 50.75, 'timestamp': '2024-11-01 07:36:13'}generating
[2024-11-01T07:36:14.604+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.62, 'humidity': 50.57, 'timestamp': '2024-11-01 07:36:14'}
[2024-11-01T07:36:14.625+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.62, 'humidity': 50.57, 'timestamp': '2024-11-01 07:36:14'}
[2024-11-01T07:36:15.648+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.62, 'humidity': 50.57, 'timestamp': '2024-11-01 07:36:14'}generating
[2024-11-01T07:36:15.651+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.33, 'humidity': 50.29, 'timestamp': '2024-11-01 07:36:15'}
[2024-11-01T07:36:15.652+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.33, 'humidity': 50.29, 'timestamp': '2024-11-01 07:36:15'}
[2024-11-01T07:36:16.682+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.33, 'humidity': 50.29, 'timestamp': '2024-11-01 07:36:15'}generating
[2024-11-01T07:36:16.694+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.41, 'humidity': 50.26, 'timestamp': '2024-11-01 07:36:16'}
[2024-11-01T07:36:16.696+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.41, 'humidity': 50.26, 'timestamp': '2024-11-01 07:36:16'}
