[2024-11-01T07:57:05.458+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-01T07:57:05.837+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T07:54:00+00:00 [queued]>
[2024-11-01T07:57:05.857+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T07:54:00+00:00 [queued]>
[2024-11-01T07:57:05.858+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-01T07:57:05.894+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-01 07:54:00+00:00
[2024-11-01T07:57:05.913+0000] {standard_task_runner.py:64} INFO - Started process 276 to run task
[2024-11-01T07:57:05.922+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-01T07:54:00+00:00', '--job-id', '276', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp3b57_atr']
[2024-11-01T07:57:05.931+0000] {standard_task_runner.py:91} INFO - Job 276: Subtask fetch_data_from_api
[2024-11-01T07:57:06.085+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T07:54:00+00:00 [running]> on host 458d68760919
[2024-11-01T07:57:06.404+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-01T07:54:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-01T07:54:00+00:00'
[2024-11-01T07:57:06.405+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-01T07:57:06.442+0000] {logging_mixin.py:188} INFO - generating
[2024-11-01T07:57:06.444+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.02, 'humidity': 50.36, 'timestamp': '2024-11-01 07:57:06'}
[2024-11-01T07:57:06.450+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T07:57:06.451+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T07:57:06.461+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T07:57:06.463+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T07:57:06.465+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-01T07:57:07.492+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.02, 'humidity': 50.36, 'timestamp': '2024-11-01 07:57:06'}generating
[2024-11-01T07:57:07.493+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.37, 'humidity': 50.36, 'timestamp': '2024-11-01 07:57:07'}
[2024-11-01T07:57:08.507+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.37, 'humidity': 50.36, 'timestamp': '2024-11-01 07:57:07'}generating
[2024-11-01T07:57:08.508+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.09, 'humidity': 50.75, 'timestamp': '2024-11-01 07:57:08'}
[2024-11-01T07:57:09.521+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.09, 'humidity': 50.75, 'timestamp': '2024-11-01 07:57:08'}generating
[2024-11-01T07:57:09.522+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.71, 'humidity': 50.31, 'timestamp': '2024-11-01 07:57:09'}
[2024-11-01T07:57:10.534+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.71, 'humidity': 50.31, 'timestamp': '2024-11-01 07:57:09'}generating
[2024-11-01T07:57:10.535+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.41, 'humidity': 50.72, 'timestamp': '2024-11-01 07:57:10'}
[2024-11-01T07:57:11.541+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.41, 'humidity': 50.72, 'timestamp': '2024-11-01 07:57:10'}generating
[2024-11-01T07:57:11.542+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.01, 'humidity': 50.01, 'timestamp': '2024-11-01 07:57:11'}
[2024-11-01T07:57:12.551+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.01, 'humidity': 50.01, 'timestamp': '2024-11-01 07:57:11'}generating
[2024-11-01T07:57:12.552+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.67, 'humidity': 50.5, 'timestamp': '2024-11-01 07:57:12'}
[2024-11-01T07:57:13.561+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.67, 'humidity': 50.5, 'timestamp': '2024-11-01 07:57:12'}generating
[2024-11-01T07:57:13.562+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.12, 'humidity': 50.1, 'timestamp': '2024-11-01 07:57:13'}
[2024-11-01T07:57:14.570+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.12, 'humidity': 50.1, 'timestamp': '2024-11-01 07:57:13'}generating
[2024-11-01T07:57:14.572+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.52, 'humidity': 50.14, 'timestamp': '2024-11-01 07:57:14'}
[2024-11-01T07:57:15.585+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.52, 'humidity': 50.14, 'timestamp': '2024-11-01 07:57:14'}generating
[2024-11-01T07:57:15.586+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.25, 'humidity': 50.18, 'timestamp': '2024-11-01 07:57:15'}
[2024-11-01T07:57:16.602+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.25, 'humidity': 50.18, 'timestamp': '2024-11-01 07:57:15'}generating
[2024-11-01T07:57:16.603+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.11, 'humidity': 50.81, 'timestamp': '2024-11-01 07:57:16'}
[2024-11-01T07:57:17.613+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.11, 'humidity': 50.81, 'timestamp': '2024-11-01 07:57:16'}generating
[2024-11-01T07:57:17.615+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.06, 'humidity': 50.77, 'timestamp': '2024-11-01 07:57:17'}
[2024-11-01T07:57:18.623+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.06, 'humidity': 50.77, 'timestamp': '2024-11-01 07:57:17'}generating
[2024-11-01T07:57:18.624+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.19, 'humidity': 50.94, 'timestamp': '2024-11-01 07:57:18'}
[2024-11-01T07:57:19.639+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.19, 'humidity': 50.94, 'timestamp': '2024-11-01 07:57:18'}generating
[2024-11-01T07:57:19.641+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.4, 'humidity': 50.83, 'timestamp': '2024-11-01 07:57:19'}
[2024-11-01T07:57:20.652+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.4, 'humidity': 50.83, 'timestamp': '2024-11-01 07:57:19'}generating
[2024-11-01T07:57:20.652+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.84, 'humidity': 50.45, 'timestamp': '2024-11-01 07:57:20'}
[2024-11-01T07:57:21.659+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.84, 'humidity': 50.45, 'timestamp': '2024-11-01 07:57:20'}generating
[2024-11-01T07:57:21.660+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.12, 'humidity': 50.88, 'timestamp': '2024-11-01 07:57:21'}
[2024-11-01T07:57:22.668+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.12, 'humidity': 50.88, 'timestamp': '2024-11-01 07:57:21'}generating
[2024-11-01T07:57:22.669+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.57, 'humidity': 50.43, 'timestamp': '2024-11-01 07:57:22'}
[2024-11-01T07:57:23.680+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.57, 'humidity': 50.43, 'timestamp': '2024-11-01 07:57:22'}generating
[2024-11-01T07:57:23.681+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.25, 'humidity': 50.6, 'timestamp': '2024-11-01 07:57:23'}
[2024-11-01T07:57:24.690+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.25, 'humidity': 50.6, 'timestamp': '2024-11-01 07:57:23'}generating
[2024-11-01T07:57:24.691+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.18, 'humidity': 50.35, 'timestamp': '2024-11-01 07:57:24'}
[2024-11-01T07:57:25.707+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.18, 'humidity': 50.35, 'timestamp': '2024-11-01 07:57:24'}generating
[2024-11-01T07:57:25.711+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.95, 'humidity': 50.78, 'timestamp': '2024-11-01 07:57:25'}
[2024-11-01T07:57:26.730+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.95, 'humidity': 50.78, 'timestamp': '2024-11-01 07:57:25'}generating
