[2024-11-01T07:33:05.678+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-01T07:33:05.779+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T07:30:00+00:00 [queued]>
[2024-11-01T07:33:05.812+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T07:30:00+00:00 [queued]>
[2024-11-01T07:33:05.815+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-01T07:33:06.129+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-01 07:30:00+00:00
[2024-11-01T07:33:06.148+0000] {standard_task_runner.py:64} INFO - Started process 6334 to run task
[2024-11-01T07:33:06.159+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-01T07:30:00+00:00', '--job-id', '249', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpo7c2yh8h']
[2024-11-01T07:33:06.173+0000] {standard_task_runner.py:91} INFO - Job 249: Subtask fetch_data_from_api
[2024-11-01T07:33:06.312+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T07:30:00+00:00 [running]> on host 0f30954d6a44
[2024-11-01T07:33:06.764+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-01T07:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-01T07:30:00+00:00'
[2024-11-01T07:33:06.768+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-01T07:33:06.839+0000] {logging_mixin.py:188} INFO - generating
[2024-11-01T07:33:06.843+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.46, 'humidity': 50.67, 'timestamp': '2024-11-01 07:33:06'}
[2024-11-01T07:33:06.845+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.46, 'humidity': 50.67, 'timestamp': '2024-11-01 07:33:06'}
[2024-11-01T07:33:06.848+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T07:33:06.859+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T07:33:06.882+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T07:33:06.883+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T07:33:06.890+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-01T07:33:07.927+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.46, 'humidity': 50.67, 'timestamp': '2024-11-01 07:33:06'}generating
[2024-11-01T07:33:07.928+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.19, 'humidity': 50.21, 'timestamp': '2024-11-01 07:33:07'}
[2024-11-01T07:33:07.932+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.19, 'humidity': 50.21, 'timestamp': '2024-11-01 07:33:07'}
[2024-11-01T07:33:08.947+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.19, 'humidity': 50.21, 'timestamp': '2024-11-01 07:33:07'}generating
[2024-11-01T07:33:08.947+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.87, 'humidity': 50.26, 'timestamp': '2024-11-01 07:33:08'}
