[2024-11-01T08:36:02.963+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-01T08:36:03.304+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:33:00+00:00 [queued]>
[2024-11-01T08:36:03.323+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:33:00+00:00 [queued]>
[2024-11-01T08:36:03.324+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-01T08:36:03.355+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-01 08:33:00+00:00
[2024-11-01T08:36:03.369+0000] {standard_task_runner.py:64} INFO - Started process 1561 to run task
[2024-11-01T08:36:03.377+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-01T08:33:00+00:00', '--job-id', '315', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp8jvx68h9']
[2024-11-01T08:36:03.383+0000] {standard_task_runner.py:91} INFO - Job 315: Subtask fetch_data_from_api
[2024-11-01T08:36:03.523+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:33:00+00:00 [running]> on host 458d68760919
[2024-11-01T08:36:03.740+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-01T08:33:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-01T08:33:00+00:00'
[2024-11-01T08:36:03.741+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-01T08:36:03.778+0000] {logging_mixin.py:188} INFO - generating
[2024-11-01T08:36:03.779+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.9, 'humidity': 50.89, 'timestamp': '2024-11-01 08:36:03'}
[2024-11-01T08:36:03.782+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T08:36:03.784+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T08:36:03.795+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T08:36:03.796+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T08:36:03.797+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-01T08:36:04.804+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.9, 'humidity': 50.89, 'timestamp': '2024-11-01 08:36:03'}generating
[2024-11-01T08:36:04.805+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.77, 'humidity': 50.38, 'timestamp': '2024-11-01 08:36:04'}
[2024-11-01T08:36:05.813+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.77, 'humidity': 50.38, 'timestamp': '2024-11-01 08:36:04'}generating
[2024-11-01T08:36:05.815+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.27, 'humidity': 50.12, 'timestamp': '2024-11-01 08:36:05'}
[2024-11-01T08:36:06.829+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.27, 'humidity': 50.12, 'timestamp': '2024-11-01 08:36:05'}generating
[2024-11-01T08:36:06.831+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.25, 'humidity': 50.19, 'timestamp': '2024-11-01 08:36:06'}
