[2024-11-01T08:39:08.607+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-01T08:39:09.195+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:36:00+00:00 [queued]>
[2024-11-01T08:39:09.230+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:36:00+00:00 [queued]>
[2024-11-01T08:39:09.231+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-01T08:39:09.313+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-01 08:36:00+00:00
[2024-11-01T08:39:09.364+0000] {standard_task_runner.py:64} INFO - Started process 1668 to run task
[2024-11-01T08:39:09.400+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-01T08:36:00+00:00', '--job-id', '318', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp6aftz47g']
[2024-11-01T08:39:09.420+0000] {standard_task_runner.py:91} INFO - Job 318: Subtask fetch_data_from_api
[2024-11-01T08:39:10.034+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:36:00+00:00 [running]> on host 458d68760919
[2024-11-01T08:39:10.395+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-01T08:36:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-01T08:36:00+00:00'
[2024-11-01T08:39:10.401+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-01T08:39:10.531+0000] {logging_mixin.py:188} INFO - generating
[2024-11-01T08:39:10.532+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.5, 'humidity': 50.94, 'timestamp': '2024-11-01 08:39:10'}
[2024-11-01T08:39:10.539+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T08:39:10.541+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T08:39:10.567+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T08:39:10.571+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T08:39:10.572+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-01T08:39:11.653+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.5, 'humidity': 50.94, 'timestamp': '2024-11-01 08:39:10'}generating
[2024-11-01T08:39:11.655+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.45, 'humidity': 50.15, 'timestamp': '2024-11-01 08:39:11'}
[2024-11-01T08:39:12.686+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.45, 'humidity': 50.15, 'timestamp': '2024-11-01 08:39:11'}generating
[2024-11-01T08:39:12.688+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.5, 'humidity': 50.88, 'timestamp': '2024-11-01 08:39:12'}
[2024-11-01T08:39:13.713+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.5, 'humidity': 50.88, 'timestamp': '2024-11-01 08:39:12'}generating
[2024-11-01T08:39:13.718+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.42, 'humidity': 50.32, 'timestamp': '2024-11-01 08:39:13'}
[2024-11-01T08:39:14.738+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.42, 'humidity': 50.32, 'timestamp': '2024-11-01 08:39:13'}generating
[2024-11-01T08:39:14.740+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.58, 'humidity': 50.27, 'timestamp': '2024-11-01 08:39:14'}
[2024-11-01T08:39:15.752+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.58, 'humidity': 50.27, 'timestamp': '2024-11-01 08:39:14'}generating
