[2024-11-01T08:48:07.076+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-01T08:48:07.776+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:45:00+00:00 [queued]>
[2024-11-01T08:48:07.912+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:45:00+00:00 [queued]>
[2024-11-01T08:48:07.915+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-01T08:48:07.961+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-01 08:45:00+00:00
[2024-11-01T08:48:07.990+0000] {standard_task_runner.py:64} INFO - Started process 2041 to run task
[2024-11-01T08:48:08.011+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-01T08:45:00+00:00', '--job-id', '329', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp_1qfk074']
[2024-11-01T08:48:08.025+0000] {standard_task_runner.py:91} INFO - Job 329: Subtask fetch_data_from_api
[2024-11-01T08:48:08.457+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:45:00+00:00 [running]> on host 458d68760919
[2024-11-01T08:48:09.458+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-01T08:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-01T08:45:00+00:00'
[2024-11-01T08:48:09.476+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-01T08:48:09.624+0000] {logging_mixin.py:188} INFO - generating
[2024-11-01T08:48:09.630+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.33, 'humidity': 50.91, 'timestamp': '2024-11-01 08:48:09'}
[2024-11-01T08:48:09.642+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T08:48:09.657+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T08:48:09.735+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T08:48:09.743+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T08:48:09.743+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-01T08:48:10.784+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.33, 'humidity': 50.91, 'timestamp': '2024-11-01 08:48:09'}generating
[2024-11-01T08:48:10.785+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.41, 'humidity': 50.69, 'timestamp': '2024-11-01 08:48:10'}
[2024-11-01T08:48:11.800+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.41, 'humidity': 50.69, 'timestamp': '2024-11-01 08:48:10'}generating
[2024-11-01T08:48:11.805+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.23, 'humidity': 50.5, 'timestamp': '2024-11-01 08:48:11'}
[2024-11-01T08:48:12.847+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.23, 'humidity': 50.5, 'timestamp': '2024-11-01 08:48:11'}generating
[2024-11-01T08:48:12.848+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.33, 'humidity': 50.69, 'timestamp': '2024-11-01 08:48:12'}
[2024-11-01T08:48:13.867+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.33, 'humidity': 50.69, 'timestamp': '2024-11-01 08:48:12'}generating
[2024-11-01T08:48:13.869+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.19, 'humidity': 50.41, 'timestamp': '2024-11-01 08:48:13'}
[2024-11-01T08:48:14.927+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.19, 'humidity': 50.41, 'timestamp': '2024-11-01 08:48:13'}generating
[2024-11-01T08:48:14.928+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.37, 'humidity': 50.07, 'timestamp': '2024-11-01 08:48:14'}
[2024-11-01T08:48:15.943+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.37, 'humidity': 50.07, 'timestamp': '2024-11-01 08:48:14'}generating
[2024-11-01T08:48:15.948+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.85, 'humidity': 50.72, 'timestamp': '2024-11-01 08:48:15'}
[2024-11-01T08:48:16.971+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.85, 'humidity': 50.72, 'timestamp': '2024-11-01 08:48:15'}generating
[2024-11-01T08:48:16.978+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.78, 'humidity': 50.46, 'timestamp': '2024-11-01 08:48:16'}
[2024-11-01T08:48:18.019+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.78, 'humidity': 50.46, 'timestamp': '2024-11-01 08:48:16'}generating
[2024-11-01T08:48:18.068+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.33, 'humidity': 50.68, 'timestamp': '2024-11-01 08:48:18'}
[2024-11-01T08:48:19.125+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.33, 'humidity': 50.68, 'timestamp': '2024-11-01 08:48:18'}generating
[2024-11-01T08:48:19.143+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.95, 'humidity': 50.4, 'timestamp': '2024-11-01 08:48:19'}
[2024-11-01T08:48:20.218+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.95, 'humidity': 50.4, 'timestamp': '2024-11-01 08:48:19'}generating
[2024-11-01T08:48:20.225+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 30.0, 'humidity': 50.84, 'timestamp': '2024-11-01 08:48:20'}
[2024-11-01T08:48:21.269+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 30.0, 'humidity': 50.84, 'timestamp': '2024-11-01 08:48:20'}generating
[2024-11-01T08:48:21.270+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.35, 'timestamp': '2024-11-01 08:48:21'}
[2024-11-01T08:48:22.296+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.35, 'timestamp': '2024-11-01 08:48:21'}generating
[2024-11-01T08:48:22.296+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.08, 'humidity': 50.86, 'timestamp': '2024-11-01 08:48:22'}
[2024-11-01T08:48:23.366+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.08, 'humidity': 50.86, 'timestamp': '2024-11-01 08:48:22'}generating
[2024-11-01T08:48:23.369+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.34, 'humidity': 50.89, 'timestamp': '2024-11-01 08:48:23'}
[2024-11-01T08:48:24.426+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.34, 'humidity': 50.89, 'timestamp': '2024-11-01 08:48:23'}generating
[2024-11-01T08:48:24.426+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.56, 'humidity': 50.58, 'timestamp': '2024-11-01 08:48:24'}
[2024-11-01T08:48:25.442+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.56, 'humidity': 50.58, 'timestamp': '2024-11-01 08:48:24'}generating
[2024-11-01T08:48:25.442+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.19, 'humidity': 50.33, 'timestamp': '2024-11-01 08:48:25'}
[2024-11-01T08:48:26.453+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.19, 'humidity': 50.33, 'timestamp': '2024-11-01 08:48:25'}generating
