[2024-11-01T08:57:07.470+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-01T08:57:08.479+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:54:00+00:00 [queued]>
[2024-11-01T08:57:08.533+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:54:00+00:00 [queued]>
[2024-11-01T08:57:08.540+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-01T08:57:08.585+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-01 08:54:00+00:00
[2024-11-01T08:57:08.623+0000] {standard_task_runner.py:64} INFO - Started process 2337 to run task
[2024-11-01T08:57:08.646+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-01T08:54:00+00:00', '--job-id', '338', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpbnfnea_f']
[2024-11-01T08:57:08.649+0000] {standard_task_runner.py:91} INFO - Job 338: Subtask fetch_data_from_api
[2024-11-01T08:57:09.504+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-01T08:54:00+00:00 [running]> on host 458d68760919
[2024-11-01T08:57:09.991+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-01T08:54:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-01T08:54:00+00:00'
[2024-11-01T08:57:09.993+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-01T08:57:10.025+0000] {logging_mixin.py:188} INFO - generating
[2024-11-01T08:57:10.028+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.34, 'humidity': 50.66, 'timestamp': '2024-11-01 08:57:10'}
[2024-11-01T08:57:10.031+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T08:57:10.038+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T08:57:10.070+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-01T08:57:10.073+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-01T08:57:10.078+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-01T08:57:11.122+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.34, 'humidity': 50.66, 'timestamp': '2024-11-01 08:57:10'}generating
[2024-11-01T08:57:11.129+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.57, 'humidity': 50.02, 'timestamp': '2024-11-01 08:57:11'}
[2024-11-01T08:57:12.481+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.57, 'humidity': 50.02, 'timestamp': '2024-11-01 08:57:11'}generating
[2024-11-01T08:57:12.491+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.24, 'humidity': 50.18, 'timestamp': '2024-11-01 08:57:12'}
[2024-11-01T08:57:13.519+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.24, 'humidity': 50.18, 'timestamp': '2024-11-01 08:57:12'}generating
[2024-11-01T08:57:13.519+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.51, 'humidity': 50.66, 'timestamp': '2024-11-01 08:57:13'}
[2024-11-01T08:57:14.549+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.51, 'humidity': 50.66, 'timestamp': '2024-11-01 08:57:13'}generating
[2024-11-01T08:57:14.573+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.47, 'humidity': 50.61, 'timestamp': '2024-11-01 08:57:14'}
[2024-11-01T08:57:15.597+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.47, 'humidity': 50.61, 'timestamp': '2024-11-01 08:57:14'}generating
[2024-11-01T08:57:15.600+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.75, 'humidity': 50.54, 'timestamp': '2024-11-01 08:57:15'}
[2024-11-01T08:57:16.615+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.75, 'humidity': 50.54, 'timestamp': '2024-11-01 08:57:15'}generating
[2024-11-01T08:57:16.615+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.98, 'humidity': 50.62, 'timestamp': '2024-11-01 08:57:16'}
[2024-11-01T08:57:17.727+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.98, 'humidity': 50.62, 'timestamp': '2024-11-01 08:57:16'}generating
[2024-11-01T08:57:17.740+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.55, 'humidity': 50.35, 'timestamp': '2024-11-01 08:57:17'}
[2024-11-01T08:57:18.747+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.55, 'humidity': 50.35, 'timestamp': '2024-11-01 08:57:17'}generating
[2024-11-01T08:57:18.748+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.69, 'humidity': 50.81, 'timestamp': '2024-11-01 08:57:18'}
[2024-11-01T08:57:19.754+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.69, 'humidity': 50.81, 'timestamp': '2024-11-01 08:57:18'}generating
[2024-11-01T08:57:19.755+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.95, 'humidity': 50.81, 'timestamp': '2024-11-01 08:57:19'}
[2024-11-01T08:57:20.762+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.95, 'humidity': 50.81, 'timestamp': '2024-11-01 08:57:19'}generating
[2024-11-01T08:57:20.763+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.83, 'humidity': 50.15, 'timestamp': '2024-11-01 08:57:20'}
[2024-11-01T08:57:21.772+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.83, 'humidity': 50.15, 'timestamp': '2024-11-01 08:57:20'}generating
[2024-11-01T08:57:21.774+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.55, 'humidity': 50.58, 'timestamp': '2024-11-01 08:57:21'}
[2024-11-01T08:57:22.781+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.55, 'humidity': 50.58, 'timestamp': '2024-11-01 08:57:21'}generating
[2024-11-01T08:57:22.781+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.74, 'humidity': 50.55, 'timestamp': '2024-11-01 08:57:22'}
