[2024-11-02T04:58:04.304+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-02T04:58:06.165+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T04:51:00+00:00 [queued]>
[2024-11-02T04:58:06.420+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T04:51:00+00:00 [queued]>
[2024-11-02T04:58:06.480+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-02T04:58:06.664+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-02 04:51:00+00:00
[2024-11-02T04:58:06.801+0000] {standard_task_runner.py:64} INFO - Started process 1111 to run task
[2024-11-02T04:58:06.911+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-02T04:51:00+00:00', '--job-id', '507', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmps27sxgvd']
[2024-11-02T04:58:07.037+0000] {standard_task_runner.py:91} INFO - Job 507: Subtask fetch_data_from_api
[2024-11-02T04:58:08.244+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T04:51:00+00:00 [running]> on host 7d12808d40db
[2024-11-02T04:58:09.856+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T04:51:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-02T04:51:00+00:00'
[2024-11-02T04:58:09.884+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-02T04:58:10.185+0000] {logging_mixin.py:188} INFO - generating
[2024-11-02T04:58:10.186+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.12, 'humidity': 50.06, 'timestamp': '2024-11-02 04:58:10'}
[2024-11-02T04:58:10.189+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T04:58:10.190+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T04:58:10.295+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T04:58:10.303+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T04:58:10.313+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-02T04:58:11.926+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.12, 'humidity': 50.06, 'timestamp': '2024-11-02 04:58:10'}generating
[2024-11-02T04:58:11.944+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.8, 'humidity': 50.84, 'timestamp': '2024-11-02 04:58:11'}
[2024-11-02T04:58:13.020+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.8, 'humidity': 50.84, 'timestamp': '2024-11-02 04:58:11'}generating
[2024-11-02T04:58:13.021+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.31, 'humidity': 50.07, 'timestamp': '2024-11-02 04:58:13'}
[2024-11-02T04:58:14.088+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.31, 'humidity': 50.07, 'timestamp': '2024-11-02 04:58:13'}generating
[2024-11-02T04:58:14.104+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.51, 'humidity': 50.85, 'timestamp': '2024-11-02 04:58:14'}
[2024-11-02T04:58:15.316+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.51, 'humidity': 50.85, 'timestamp': '2024-11-02 04:58:14'}generating
[2024-11-02T04:58:15.317+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.51, 'humidity': 50.07, 'timestamp': '2024-11-02 04:58:15'}
[2024-11-02T04:58:16.651+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.51, 'humidity': 50.07, 'timestamp': '2024-11-02 04:58:15'}generating
[2024-11-02T04:58:16.651+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.63, 'humidity': 50.08, 'timestamp': '2024-11-02 04:58:16'}
