[2024-11-02T05:27:20.223+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-02T05:27:21.696+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T05:24:00+00:00 [queued]>
[2024-11-02T05:27:21.783+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T05:24:00+00:00 [queued]>
[2024-11-02T05:27:21.790+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-02T05:27:21.957+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-02 05:24:00+00:00
[2024-11-02T05:27:22.062+0000] {standard_task_runner.py:64} INFO - Started process 11410 to run task
[2024-11-02T05:27:22.086+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-02T05:24:00+00:00', '--job-id', '539', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpe1uhfsaz']
[2024-11-02T05:27:22.156+0000] {standard_task_runner.py:91} INFO - Job 539: Subtask fetch_data_from_api
[2024-11-02T05:27:22.752+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T05:24:00+00:00 [running]> on host 7d12808d40db
[2024-11-02T05:27:23.513+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T05:24:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-02T05:24:00+00:00'
[2024-11-02T05:27:23.534+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-02T05:27:23.643+0000] {logging_mixin.py:188} INFO - generating
[2024-11-02T05:27:23.643+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.76, 'humidity': 50.04, 'timestamp': '2024-11-02 05:27:23'}
[2024-11-02T05:27:23.648+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T05:27:23.665+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T05:27:23.727+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T05:27:23.743+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T05:27:23.745+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-02T05:27:24.824+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.76, 'humidity': 50.04, 'timestamp': '2024-11-02 05:27:23'}generating
[2024-11-02T05:27:24.830+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.87, 'humidity': 50.27, 'timestamp': '2024-11-02 05:27:24'}
[2024-11-02T05:27:25.886+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.87, 'humidity': 50.27, 'timestamp': '2024-11-02 05:27:24'}generating
[2024-11-02T05:27:25.895+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.85, 'humidity': 50.04, 'timestamp': '2024-11-02 05:27:25'}
[2024-11-02T05:27:26.953+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.85, 'humidity': 50.04, 'timestamp': '2024-11-02 05:27:25'}generating
[2024-11-02T05:27:26.961+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.95, 'humidity': 50.05, 'timestamp': '2024-11-02 05:27:26'}
[2024-11-02T05:27:28.019+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.95, 'humidity': 50.05, 'timestamp': '2024-11-02 05:27:26'}generating
