[2024-11-02T05:57:16.120+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-02T05:57:17.459+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T05:54:00+00:00 [queued]>
[2024-11-02T05:57:17.642+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T05:54:00+00:00 [queued]>
[2024-11-02T05:57:17.647+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-02T05:57:17.812+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-02 05:54:00+00:00
[2024-11-02T05:57:17.870+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-02T05:54:00+00:00', '--job-id', '568', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpq2o2rh0r']
[2024-11-02T05:57:17.875+0000] {standard_task_runner.py:91} INFO - Job 568: Subtask fetch_data_from_api
[2024-11-02T05:57:17.863+0000] {standard_task_runner.py:64} INFO - Started process 16922 to run task
[2024-11-02T05:57:19.067+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T05:54:00+00:00 [running]> on host 7d12808d40db
[2024-11-02T05:57:20.875+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T05:54:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-02T05:54:00+00:00'
[2024-11-02T05:57:20.876+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-02T05:57:21.058+0000] {logging_mixin.py:188} INFO - generating
[2024-11-02T05:57:21.065+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.92, 'humidity': 50.66, 'timestamp': '2024-11-02 05:57:21'}
[2024-11-02T05:57:21.103+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T05:57:21.130+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T05:57:21.281+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T05:57:21.299+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T05:57:21.300+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-02T05:57:22.385+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.92, 'humidity': 50.66, 'timestamp': '2024-11-02 05:57:21'}generating
[2024-11-02T05:57:22.412+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.57, 'humidity': 50.87, 'timestamp': '2024-11-02 05:57:22'}
[2024-11-02T05:57:23.694+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.57, 'humidity': 50.87, 'timestamp': '2024-11-02 05:57:22'}generating
[2024-11-02T05:57:23.702+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.92, 'humidity': 50.18, 'timestamp': '2024-11-02 05:57:23'}
[2024-11-02T05:57:24.819+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.92, 'humidity': 50.18, 'timestamp': '2024-11-02 05:57:23'}generating
[2024-11-02T05:57:24.842+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.79, 'humidity': 50.04, 'timestamp': '2024-11-02 05:57:24'}
