[2024-11-02T06:15:33.123+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-02T06:15:34.690+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T06:12:00+00:00 [queued]>
[2024-11-02T06:15:34.726+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T06:12:00+00:00 [queued]>
[2024-11-02T06:15:34.730+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-02T06:15:34.937+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-02 06:12:00+00:00
[2024-11-02T06:15:35.123+0000] {standard_task_runner.py:64} INFO - Started process 21346 to run task
[2024-11-02T06:15:35.250+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-02T06:12:00+00:00', '--job-id', '583', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpm0ooxsw5']
[2024-11-02T06:15:35.254+0000] {standard_task_runner.py:91} INFO - Job 583: Subtask fetch_data_from_api
[2024-11-02T06:15:35.958+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T06:12:00+00:00 [running]> on host 7d12808d40db
[2024-11-02T06:15:36.835+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T06:12:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-02T06:12:00+00:00'
[2024-11-02T06:15:36.846+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-02T06:15:36.946+0000] {logging_mixin.py:188} INFO - generating
[2024-11-02T06:15:36.958+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.37, 'humidity': 50.34, 'timestamp': '2024-11-02 06:15:36'}
[2024-11-02T06:15:36.982+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T06:15:37.010+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T06:15:37.104+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T06:15:37.125+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T06:15:37.130+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-02T06:15:38.274+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.37, 'humidity': 50.34, 'timestamp': '2024-11-02 06:15:36'}generating
[2024-11-02T06:15:38.275+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.8, 'humidity': 50.62, 'timestamp': '2024-11-02 06:15:38'}
[2024-11-02T06:15:39.410+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.8, 'humidity': 50.62, 'timestamp': '2024-11-02 06:15:38'}generating
[2024-11-02T06:15:39.410+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.98, 'humidity': 50.18, 'timestamp': '2024-11-02 06:15:39'}
[2024-11-02T06:15:40.502+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.98, 'humidity': 50.18, 'timestamp': '2024-11-02 06:15:39'}generating
[2024-11-02T06:15:40.535+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.17, 'humidity': 50.6, 'timestamp': '2024-11-02 06:15:40'}
[2024-11-02T06:15:41.581+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.17, 'humidity': 50.6, 'timestamp': '2024-11-02 06:15:40'}generating
[2024-11-02T06:15:41.599+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.05, 'humidity': 50.75, 'timestamp': '2024-11-02 06:15:41'}
[2024-11-02T06:15:42.648+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.05, 'humidity': 50.75, 'timestamp': '2024-11-02 06:15:41'}generating
[2024-11-02T06:15:42.701+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.75, 'humidity': 50.6, 'timestamp': '2024-11-02 06:15:42'}
[2024-11-02T06:15:43.837+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.75, 'humidity': 50.6, 'timestamp': '2024-11-02 06:15:42'}generating
[2024-11-02T06:15:43.850+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.98, 'humidity': 50.53, 'timestamp': '2024-11-02 06:15:43'}
[2024-11-02T06:15:44.884+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.98, 'humidity': 50.53, 'timestamp': '2024-11-02 06:15:43'}generating
[2024-11-02T06:15:44.885+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.16, 'humidity': 50.9, 'timestamp': '2024-11-02 06:15:44'}
[2024-11-02T06:15:46.012+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.16, 'humidity': 50.9, 'timestamp': '2024-11-02 06:15:44'}generating
[2024-11-02T06:15:46.024+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.76, 'humidity': 50.27, 'timestamp': '2024-11-02 06:15:46'}
[2024-11-02T06:15:47.244+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.76, 'humidity': 50.27, 'timestamp': '2024-11-02 06:15:46'}generating
[2024-11-02T06:15:47.245+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.41, 'humidity': 50.41, 'timestamp': '2024-11-02 06:15:47'}
[2024-11-02T06:15:48.311+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.41, 'humidity': 50.41, 'timestamp': '2024-11-02 06:15:47'}generating
[2024-11-02T06:15:48.368+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.23, 'humidity': 50.34, 'timestamp': '2024-11-02 06:15:48'}
[2024-11-02T06:15:49.380+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.23, 'humidity': 50.34, 'timestamp': '2024-11-02 06:15:48'}generating
[2024-11-02T06:15:49.382+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.11, 'humidity': 50.93, 'timestamp': '2024-11-02 06:15:49'}
[2024-11-02T06:15:50.405+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.11, 'humidity': 50.93, 'timestamp': '2024-11-02 06:15:49'}generating
[2024-11-02T06:15:50.410+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.6, 'humidity': 50.25, 'timestamp': '2024-11-02 06:15:50'}
[2024-11-02T06:15:51.468+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.6, 'humidity': 50.25, 'timestamp': '2024-11-02 06:15:50'}generating
[2024-11-02T06:15:51.469+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.43, 'humidity': 50.98, 'timestamp': '2024-11-02 06:15:51'}
[2024-11-02T06:15:52.499+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.43, 'humidity': 50.98, 'timestamp': '2024-11-02 06:15:51'}generating
[2024-11-02T06:15:52.500+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.41, 'humidity': 50.03, 'timestamp': '2024-11-02 06:15:52'}
[2024-11-02T06:15:53.572+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.41, 'humidity': 50.03, 'timestamp': '2024-11-02 06:15:52'}generating
[2024-11-02T06:15:53.586+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.21, 'humidity': 50.63, 'timestamp': '2024-11-02 06:15:53'}
[2024-11-02T06:15:54.614+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.21, 'humidity': 50.63, 'timestamp': '2024-11-02 06:15:53'}generating
