[2024-11-02T07:06:07.271+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-02T07:06:07.481+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T07:03:00+00:00 [queued]>
[2024-11-02T07:06:07.525+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T07:03:00+00:00 [queued]>
[2024-11-02T07:06:07.527+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-02T07:06:08.191+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-02 07:03:00+00:00
[2024-11-02T07:06:08.228+0000] {standard_task_runner.py:64} INFO - Started process 881 to run task
[2024-11-02T07:06:08.254+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-02T07:03:00+00:00', '--job-id', '645', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmph2ti_tak']
[2024-11-02T07:06:08.260+0000] {standard_task_runner.py:91} INFO - Job 645: Subtask fetch_data_from_api
[2024-11-02T07:06:08.580+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T07:03:00+00:00 [running]> on host 7d12808d40db
[2024-11-02T07:06:09.166+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T07:03:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-02T07:03:00+00:00'
[2024-11-02T07:06:09.168+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-02T07:06:09.268+0000] {logging_mixin.py:188} INFO - generating
[2024-11-02T07:06:09.269+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.32, 'humidity': 50.12, 'timestamp': '2024-11-02 07:06:09'}
[2024-11-02T07:06:09.273+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T07:06:09.286+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T07:06:09.327+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T07:06:09.391+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T07:06:09.404+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-02T07:06:10.453+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.32, 'humidity': 50.12, 'timestamp': '2024-11-02 07:06:09'}generating
[2024-11-02T07:06:10.454+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.31, 'humidity': 50.12, 'timestamp': '2024-11-02 07:06:10'}
[2024-11-02T07:06:11.490+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.31, 'humidity': 50.12, 'timestamp': '2024-11-02 07:06:10'}generating
[2024-11-02T07:06:11.500+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.28, 'humidity': 50.15, 'timestamp': '2024-11-02 07:06:11'}
[2024-11-02T07:06:12.546+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.28, 'humidity': 50.15, 'timestamp': '2024-11-02 07:06:11'}generating
[2024-11-02T07:06:12.548+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.88, 'humidity': 50.88, 'timestamp': '2024-11-02 07:06:12'}
[2024-11-02T07:06:13.567+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.88, 'humidity': 50.88, 'timestamp': '2024-11-02 07:06:12'}generating
[2024-11-02T07:06:13.573+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.39, 'humidity': 50.83, 'timestamp': '2024-11-02 07:06:13'}
[2024-11-02T07:06:14.587+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.39, 'humidity': 50.83, 'timestamp': '2024-11-02 07:06:13'}generating
[2024-11-02T07:06:14.590+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.6, 'humidity': 50.85, 'timestamp': '2024-11-02 07:06:14'}
[2024-11-02T07:06:15.662+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.6, 'humidity': 50.85, 'timestamp': '2024-11-02 07:06:14'}generating
[2024-11-02T07:06:15.693+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.1, 'humidity': 50.9, 'timestamp': '2024-11-02 07:06:15'}
[2024-11-02T07:06:16.792+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.1, 'humidity': 50.9, 'timestamp': '2024-11-02 07:06:15'}generating
[2024-11-02T07:06:16.793+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.98, 'humidity': 50.05, 'timestamp': '2024-11-02 07:06:16'}
[2024-11-02T07:06:17.858+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.98, 'humidity': 50.05, 'timestamp': '2024-11-02 07:06:16'}generating
[2024-11-02T07:06:17.864+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.42, 'humidity': 50.7, 'timestamp': '2024-11-02 07:06:17'}
[2024-11-02T07:06:18.871+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.42, 'humidity': 50.7, 'timestamp': '2024-11-02 07:06:17'}generating
[2024-11-02T07:06:18.871+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.19, 'humidity': 50.47, 'timestamp': '2024-11-02 07:06:18'}
[2024-11-02T07:06:19.899+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.19, 'humidity': 50.47, 'timestamp': '2024-11-02 07:06:18'}generating
[2024-11-02T07:06:19.899+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.89, 'humidity': 50.58, 'timestamp': '2024-11-02 07:06:19'}
[2024-11-02T07:06:20.914+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.89, 'humidity': 50.58, 'timestamp': '2024-11-02 07:06:19'}generating
[2024-11-02T07:06:20.916+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.06, 'humidity': 50.8, 'timestamp': '2024-11-02 07:06:20'}
[2024-11-02T07:06:21.926+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.06, 'humidity': 50.8, 'timestamp': '2024-11-02 07:06:20'}generating
[2024-11-02T07:06:21.927+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.37, 'humidity': 50.47, 'timestamp': '2024-11-02 07:06:21'}
[2024-11-02T07:06:22.936+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.37, 'humidity': 50.47, 'timestamp': '2024-11-02 07:06:21'}generating
[2024-11-02T07:06:22.939+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.38, 'humidity': 50.87, 'timestamp': '2024-11-02 07:06:22'}
[2024-11-02T07:06:23.953+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.38, 'humidity': 50.87, 'timestamp': '2024-11-02 07:06:22'}generating
[2024-11-02T07:06:23.954+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.24, 'humidity': 50.4, 'timestamp': '2024-11-02 07:06:23'}
[2024-11-02T07:06:25.004+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.24, 'humidity': 50.4, 'timestamp': '2024-11-02 07:06:23'}generating
[2024-11-02T07:06:25.011+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.25, 'humidity': 50.38, 'timestamp': '2024-11-02 07:06:25'}
[2024-11-02T07:06:26.039+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.25, 'humidity': 50.38, 'timestamp': '2024-11-02 07:06:25'}generating
[2024-11-02T07:06:26.049+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.81, 'timestamp': '2024-11-02 07:06:26'}
[2024-11-02T07:06:27.058+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.81, 'timestamp': '2024-11-02 07:06:26'}generating
[2024-11-02T07:06:27.058+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.49, 'humidity': 50.79, 'timestamp': '2024-11-02 07:06:27'}
[2024-11-02T07:06:28.066+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.49, 'humidity': 50.79, 'timestamp': '2024-11-02 07:06:27'}generating
