[2024-11-02T07:36:06.634+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-02T07:36:06.772+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T07:33:00+00:00 [queued]>
[2024-11-02T07:36:06.795+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T07:33:00+00:00 [queued]>
[2024-11-02T07:36:06.801+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-02T07:36:07.567+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-02 07:33:00+00:00
[2024-11-02T07:36:07.595+0000] {standard_task_runner.py:64} INFO - Started process 1842 to run task
[2024-11-02T07:36:07.658+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-02T07:33:00+00:00', '--job-id', '675', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpqk5vm9lc']
[2024-11-02T07:36:07.665+0000] {standard_task_runner.py:91} INFO - Job 675: Subtask fetch_data_from_api
[2024-11-02T07:36:08.082+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T07:33:00+00:00 [running]> on host 7d12808d40db
[2024-11-02T07:36:08.602+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T07:33:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-02T07:33:00+00:00'
[2024-11-02T07:36:08.610+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-02T07:36:08.750+0000] {logging_mixin.py:188} INFO - generating
[2024-11-02T07:36:08.751+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.33, 'humidity': 50.81, 'timestamp': '2024-11-02 07:36:08'}
[2024-11-02T07:36:08.769+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T07:36:08.774+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T07:36:08.804+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T07:36:08.835+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T07:36:08.840+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-02T07:36:09.913+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.33, 'humidity': 50.81, 'timestamp': '2024-11-02 07:36:08'}generating
[2024-11-02T07:36:09.915+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.57, 'humidity': 50.22, 'timestamp': '2024-11-02 07:36:09'}
[2024-11-02T07:36:10.957+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.57, 'humidity': 50.22, 'timestamp': '2024-11-02 07:36:09'}generating
[2024-11-02T07:36:10.971+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.21, 'humidity': 50.64, 'timestamp': '2024-11-02 07:36:10'}
[2024-11-02T07:36:11.995+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.21, 'humidity': 50.64, 'timestamp': '2024-11-02 07:36:10'}generating
[2024-11-02T07:36:12.014+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.25, 'humidity': 50.37, 'timestamp': '2024-11-02 07:36:11'}
[2024-11-02T07:36:13.041+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.25, 'humidity': 50.37, 'timestamp': '2024-11-02 07:36:11'}generating
[2024-11-02T07:36:13.041+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.4, 'humidity': 50.37, 'timestamp': '2024-11-02 07:36:13'}
[2024-11-02T07:36:14.125+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.4, 'humidity': 50.37, 'timestamp': '2024-11-02 07:36:13'}generating
[2024-11-02T07:36:14.133+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.04, 'humidity': 50.59, 'timestamp': '2024-11-02 07:36:14'}
[2024-11-02T07:36:15.179+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.04, 'humidity': 50.59, 'timestamp': '2024-11-02 07:36:14'}generating
[2024-11-02T07:36:15.182+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.66, 'humidity': 50.04, 'timestamp': '2024-11-02 07:36:15'}
[2024-11-02T07:36:16.201+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.66, 'humidity': 50.04, 'timestamp': '2024-11-02 07:36:15'}generating
[2024-11-02T07:36:16.201+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.73, 'humidity': 50.23, 'timestamp': '2024-11-02 07:36:16'}
[2024-11-02T07:36:17.254+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.73, 'humidity': 50.23, 'timestamp': '2024-11-02 07:36:16'}generating
[2024-11-02T07:36:17.255+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.27, 'humidity': 50.26, 'timestamp': '2024-11-02 07:36:17'}
[2024-11-02T07:36:18.309+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.27, 'humidity': 50.26, 'timestamp': '2024-11-02 07:36:17'}generating
[2024-11-02T07:36:18.314+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.03, 'humidity': 50.73, 'timestamp': '2024-11-02 07:36:18'}
[2024-11-02T07:36:19.348+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.03, 'humidity': 50.73, 'timestamp': '2024-11-02 07:36:18'}generating
[2024-11-02T07:36:19.349+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.18, 'humidity': 50.08, 'timestamp': '2024-11-02 07:36:19'}
[2024-11-02T07:36:20.380+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.18, 'humidity': 50.08, 'timestamp': '2024-11-02 07:36:19'}generating
[2024-11-02T07:36:20.386+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.04, 'humidity': 50.37, 'timestamp': '2024-11-02 07:36:20'}
[2024-11-02T07:36:21.407+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.04, 'humidity': 50.37, 'timestamp': '2024-11-02 07:36:20'}generating
[2024-11-02T07:36:21.416+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.35, 'humidity': 50.49, 'timestamp': '2024-11-02 07:36:21'}
[2024-11-02T07:36:22.522+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.35, 'humidity': 50.49, 'timestamp': '2024-11-02 07:36:21'}generating
[2024-11-02T07:36:22.665+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.83, 'humidity': 50.08, 'timestamp': '2024-11-02 07:36:22'}
[2024-11-02T07:36:23.965+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.83, 'humidity': 50.08, 'timestamp': '2024-11-02 07:36:22'}generating
[2024-11-02T07:36:23.976+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.01, 'humidity': 50.52, 'timestamp': '2024-11-02 07:36:23'}
[2024-11-02T07:36:25.151+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.01, 'humidity': 50.52, 'timestamp': '2024-11-02 07:36:23'}generating
[2024-11-02T07:36:25.159+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.0, 'humidity': 50.78, 'timestamp': '2024-11-02 07:36:25'}
[2024-11-02T07:36:26.284+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.0, 'humidity': 50.78, 'timestamp': '2024-11-02 07:36:25'}generating
[2024-11-02T07:36:26.285+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.03, 'humidity': 50.66, 'timestamp': '2024-11-02 07:36:26'}
[2024-11-02T07:36:27.440+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.03, 'humidity': 50.66, 'timestamp': '2024-11-02 07:36:26'}generating
[2024-11-02T07:36:27.477+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.37, 'humidity': 50.06, 'timestamp': '2024-11-02 07:36:27'}
[2024-11-02T07:36:28.511+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.37, 'humidity': 50.06, 'timestamp': '2024-11-02 07:36:27'}generating
