[2024-11-02T08:03:13.346+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-02T08:03:13.542+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T08:00:00+00:00 [queued]>
[2024-11-02T08:03:13.640+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T08:00:00+00:00 [queued]>
[2024-11-02T08:03:13.645+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-02T08:03:14.747+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-02 08:00:00+00:00
[2024-11-02T08:03:14.869+0000] {standard_task_runner.py:64} INFO - Started process 3133 to run task
[2024-11-02T08:03:14.854+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-02T08:00:00+00:00', '--job-id', '686', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp3tip7mwo']
[2024-11-02T08:03:14.912+0000] {standard_task_runner.py:91} INFO - Job 686: Subtask fetch_data_from_api
[2024-11-02T08:03:15.359+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-02T08:00:00+00:00 [running]> on host 7d12808d40db
[2024-11-02T08:03:16.491+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T08:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-02T08:00:00+00:00'
[2024-11-02T08:03:16.498+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-02T08:03:16.638+0000] {logging_mixin.py:188} INFO - generating
[2024-11-02T08:03:16.650+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.75, 'humidity': 50.47, 'timestamp': '2024-11-02 08:03:16'}
[2024-11-02T08:03:16.678+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T08:03:16.680+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T08:03:16.746+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-02T08:03:16.758+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-02T08:03:16.759+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-02T08:03:17.833+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.75, 'humidity': 50.47, 'timestamp': '2024-11-02 08:03:16'}generating
[2024-11-02T08:03:17.833+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.35, 'humidity': 50.47, 'timestamp': '2024-11-02 08:03:17'}
[2024-11-02T08:03:18.890+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.35, 'humidity': 50.47, 'timestamp': '2024-11-02 08:03:17'}generating
[2024-11-02T08:03:18.897+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.2, 'humidity': 50.49, 'timestamp': '2024-11-02 08:03:18'}
[2024-11-02T08:03:19.931+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.2, 'humidity': 50.49, 'timestamp': '2024-11-02 08:03:18'}generating
[2024-11-02T08:03:19.932+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.38, 'humidity': 50.15, 'timestamp': '2024-11-02 08:03:19'}
[2024-11-02T08:03:21.001+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.38, 'humidity': 50.15, 'timestamp': '2024-11-02 08:03:19'}generating
[2024-11-02T08:03:21.017+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.62, 'humidity': 50.13, 'timestamp': '2024-11-02 08:03:21'}
[2024-11-02T08:03:22.062+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.62, 'humidity': 50.13, 'timestamp': '2024-11-02 08:03:21'}generating
[2024-11-02T08:03:22.073+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.78, 'humidity': 50.61, 'timestamp': '2024-11-02 08:03:22'}
[2024-11-02T08:03:23.149+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.78, 'humidity': 50.61, 'timestamp': '2024-11-02 08:03:22'}generating
[2024-11-02T08:03:23.149+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.96, 'humidity': 50.02, 'timestamp': '2024-11-02 08:03:23'}
[2024-11-02T08:03:24.238+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.96, 'humidity': 50.02, 'timestamp': '2024-11-02 08:03:23'}generating
[2024-11-02T08:03:24.238+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.92, 'humidity': 50.67, 'timestamp': '2024-11-02 08:03:24'}
[2024-11-02T08:03:25.469+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.92, 'humidity': 50.67, 'timestamp': '2024-11-02 08:03:24'}generating
[2024-11-02T08:03:25.484+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.75, 'humidity': 50.4, 'timestamp': '2024-11-02 08:03:25'}
[2024-11-02T08:03:26.525+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.75, 'humidity': 50.4, 'timestamp': '2024-11-02 08:03:25'}generating
[2024-11-02T08:03:26.526+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.18, 'humidity': 50.5, 'timestamp': '2024-11-02 08:03:26'}
[2024-11-02T08:03:27.578+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.18, 'humidity': 50.5, 'timestamp': '2024-11-02 08:03:26'}generating
[2024-11-02T08:03:27.581+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.86, 'humidity': 50.64, 'timestamp': '2024-11-02 08:03:27'}
[2024-11-02T08:03:28.614+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.86, 'humidity': 50.64, 'timestamp': '2024-11-02 08:03:27'}generating
[2024-11-02T08:03:28.619+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.58, 'humidity': 50.87, 'timestamp': '2024-11-02 08:03:28'}
[2024-11-02T08:03:29.689+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.58, 'humidity': 50.87, 'timestamp': '2024-11-02 08:03:28'}generating
[2024-11-02T08:03:29.694+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.45, 'humidity': 50.88, 'timestamp': '2024-11-02 08:03:29'}
[2024-11-02T08:03:30.740+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.45, 'humidity': 50.88, 'timestamp': '2024-11-02 08:03:29'}generating
[2024-11-02T08:03:30.772+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.29, 'humidity': 50.99, 'timestamp': '2024-11-02 08:03:30'}
[2024-11-02T08:03:32.055+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.29, 'humidity': 50.99, 'timestamp': '2024-11-02 08:03:30'}generating
[2024-11-02T08:03:32.057+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.68, 'humidity': 50.51, 'timestamp': '2024-11-02 08:03:32'}
[2024-11-02T08:03:33.274+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.68, 'humidity': 50.51, 'timestamp': '2024-11-02 08:03:32'}generating
[2024-11-02T08:03:33.350+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.31, 'humidity': 50.55, 'timestamp': '2024-11-02 08:03:33'}
[2024-11-02T08:03:34.420+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.31, 'humidity': 50.55, 'timestamp': '2024-11-02 08:03:33'}generating
[2024-11-02T08:03:34.421+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.02, 'humidity': 50.28, 'timestamp': '2024-11-02 08:03:34'}
[2024-11-02T08:03:35.567+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.02, 'humidity': 50.28, 'timestamp': '2024-11-02 08:03:34'}generating
[2024-11-02T08:03:35.571+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.89, 'humidity': 50.95, 'timestamp': '2024-11-02 08:03:35'}
[2024-11-02T08:03:36.647+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.89, 'humidity': 50.95, 'timestamp': '2024-11-02 08:03:35'}generating
[2024-11-02T08:03:36.672+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.67, 'humidity': 50.12, 'timestamp': '2024-11-02 08:03:36'}
[2024-11-02T08:03:37.813+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.67, 'humidity': 50.12, 'timestamp': '2024-11-02 08:03:36'}generating
[2024-11-02T08:03:37.814+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.14, 'humidity': 50.48, 'timestamp': '2024-11-02 08:03:37'}
[2024-11-02T08:03:38.919+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.14, 'humidity': 50.48, 'timestamp': '2024-11-02 08:03:37'}generating
[2024-11-02T08:03:38.938+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.04, 'humidity': 50.83, 'timestamp': '2024-11-02 08:03:38'}
[2024-11-02T08:03:39.990+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.04, 'humidity': 50.83, 'timestamp': '2024-11-02 08:03:38'}generating
[2024-11-02T08:03:40.001+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.04, 'humidity': 50.45, 'timestamp': '2024-11-02 08:03:39'}
[2024-11-02T08:03:41.047+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.04, 'humidity': 50.45, 'timestamp': '2024-11-02 08:03:39'}generating
[2024-11-02T08:03:41.070+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.02, 'humidity': 50.14, 'timestamp': '2024-11-02 08:03:41'}
[2024-11-02T08:03:42.154+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.02, 'humidity': 50.14, 'timestamp': '2024-11-02 08:03:41'}generating
[2024-11-02T08:03:42.195+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.98, 'humidity': 50.35, 'timestamp': '2024-11-02 08:03:42'}
[2024-11-02T08:03:43.228+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.98, 'humidity': 50.35, 'timestamp': '2024-11-02 08:03:42'}generating
[2024-11-02T08:03:43.235+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.12, 'humidity': 50.71, 'timestamp': '2024-11-02 08:03:43'}
[2024-11-02T08:03:44.291+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.12, 'humidity': 50.71, 'timestamp': '2024-11-02 08:03:43'}generating
