[2024-11-03T07:18:07.244+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T07:18:07.497+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T07:15:00+00:00 [queued]>
[2024-11-03T07:18:07.619+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T07:15:00+00:00 [queued]>
[2024-11-03T07:18:07.621+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T07:18:08.062+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 07:15:00+00:00
[2024-11-03T07:18:08.076+0000] {standard_task_runner.py:64} INFO - Started process 431 to run task
[2024-11-03T07:18:08.084+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T07:15:00+00:00', '--job-id', '26', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpxlm6bq1w']
[2024-11-03T07:18:08.123+0000] {standard_task_runner.py:91} INFO - Job 26: Subtask fetch_data_from_api
[2024-11-03T07:18:08.507+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T07:15:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T07:18:09.181+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T07:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T07:15:00+00:00'
[2024-11-03T07:18:09.183+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T07:18:09.246+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T07:18:09.256+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.16, 'humidity': 50.6, 'timestamp': '2024-11-03 07:18:09'}
[2024-11-03T07:18:09.330+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T07:18:09.353+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T07:18:09.428+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T07:18:09.437+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T07:18:09.443+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T07:18:10.534+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.16, 'humidity': 50.6, 'timestamp': '2024-11-03 07:18:09'}generating
[2024-11-03T07:18:10.538+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.56, 'humidity': 50.6, 'timestamp': '2024-11-03 07:18:10'}
[2024-11-03T07:18:11.611+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.56, 'humidity': 50.6, 'timestamp': '2024-11-03 07:18:10'}generating
[2024-11-03T07:18:11.612+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.31, 'humidity': 50.85, 'timestamp': '2024-11-03 07:18:11'}
[2024-11-03T07:18:12.728+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.31, 'humidity': 50.85, 'timestamp': '2024-11-03 07:18:11'}generating
[2024-11-03T07:18:12.735+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.54, 'humidity': 50.15, 'timestamp': '2024-11-03 07:18:12'}
[2024-11-03T07:18:13.845+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.54, 'humidity': 50.15, 'timestamp': '2024-11-03 07:18:12'}generating
[2024-11-03T07:18:13.846+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.47, 'humidity': 50.77, 'timestamp': '2024-11-03 07:18:13'}
[2024-11-03T07:18:14.892+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.47, 'humidity': 50.77, 'timestamp': '2024-11-03 07:18:13'}generating
[2024-11-03T07:18:14.937+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.21, 'humidity': 50.25, 'timestamp': '2024-11-03 07:18:14'}
[2024-11-03T07:18:16.027+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.21, 'humidity': 50.25, 'timestamp': '2024-11-03 07:18:14'}generating
[2024-11-03T07:18:16.038+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.5, 'humidity': 50.91, 'timestamp': '2024-11-03 07:18:16'}
[2024-11-03T07:18:17.113+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.5, 'humidity': 50.91, 'timestamp': '2024-11-03 07:18:16'}generating
[2024-11-03T07:18:17.126+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.75, 'humidity': 50.2, 'timestamp': '2024-11-03 07:18:17'}
[2024-11-03T07:18:18.251+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.75, 'humidity': 50.2, 'timestamp': '2024-11-03 07:18:17'}generating
[2024-11-03T07:18:18.265+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.86, 'humidity': 50.8, 'timestamp': '2024-11-03 07:18:18'}
[2024-11-03T07:18:19.636+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.86, 'humidity': 50.8, 'timestamp': '2024-11-03 07:18:18'}generating
[2024-11-03T07:18:19.694+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.2, 'humidity': 50.89, 'timestamp': '2024-11-03 07:18:19'}
[2024-11-03T07:18:20.935+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.2, 'humidity': 50.89, 'timestamp': '2024-11-03 07:18:19'}generating
[2024-11-03T07:18:20.936+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.29, 'humidity': 50.4, 'timestamp': '2024-11-03 07:18:20'}
[2024-11-03T07:18:21.997+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.29, 'humidity': 50.4, 'timestamp': '2024-11-03 07:18:20'}generating
[2024-11-03T07:18:22.019+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.78, 'humidity': 50.63, 'timestamp': '2024-11-03 07:18:21'}
[2024-11-03T07:18:23.141+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.78, 'humidity': 50.63, 'timestamp': '2024-11-03 07:18:21'}generating
[2024-11-03T07:18:23.146+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.65, 'humidity': 50.19, 'timestamp': '2024-11-03 07:18:23'}
[2024-11-03T07:18:24.160+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.65, 'humidity': 50.19, 'timestamp': '2024-11-03 07:18:23'}generating
[2024-11-03T07:18:24.162+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.97, 'humidity': 50.15, 'timestamp': '2024-11-03 07:18:24'}
[2024-11-03T07:18:25.337+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.97, 'humidity': 50.15, 'timestamp': '2024-11-03 07:18:24'}generating
[2024-11-03T07:18:25.340+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.9, 'humidity': 50.76, 'timestamp': '2024-11-03 07:18:25'}
[2024-11-03T07:18:26.396+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.9, 'humidity': 50.76, 'timestamp': '2024-11-03 07:18:25'}generating
[2024-11-03T07:18:26.397+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.47, 'humidity': 50.13, 'timestamp': '2024-11-03 07:18:26'}
[2024-11-03T07:18:27.420+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.47, 'humidity': 50.13, 'timestamp': '2024-11-03 07:18:26'}generating
[2024-11-03T07:18:27.427+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.33, 'humidity': 50.01, 'timestamp': '2024-11-03 07:18:27'}
[2024-11-03T07:18:28.474+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.33, 'humidity': 50.01, 'timestamp': '2024-11-03 07:18:27'}generating
[2024-11-03T07:18:28.481+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.51, 'humidity': 50.85, 'timestamp': '2024-11-03 07:18:28'}
[2024-11-03T07:18:29.513+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.51, 'humidity': 50.85, 'timestamp': '2024-11-03 07:18:28'}generating
[2024-11-03T07:18:29.527+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.26, 'humidity': 50.49, 'timestamp': '2024-11-03 07:18:29'}
