[2024-11-03T07:36:33.103+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T07:36:33.244+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T07:33:00+00:00 [queued]>
[2024-11-03T07:36:33.280+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T07:33:00+00:00 [queued]>
[2024-11-03T07:36:33.288+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T07:36:33.970+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 07:33:00+00:00
[2024-11-03T07:36:34.000+0000] {standard_task_runner.py:64} INFO - Started process 1078 to run task
[2024-11-03T07:36:34.026+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T07:33:00+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpk9axx93m']
[2024-11-03T07:36:34.036+0000] {standard_task_runner.py:91} INFO - Job 37: Subtask fetch_data_from_api
[2024-11-03T07:36:34.591+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T07:33:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T07:36:35.402+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T07:33:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T07:33:00+00:00'
[2024-11-03T07:36:35.403+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T07:36:35.545+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T07:36:35.547+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.71, 'humidity': 50.42, 'timestamp': '2024-11-03 07:36:35'}
[2024-11-03T07:36:35.549+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T07:36:35.554+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T07:36:35.599+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T07:36:35.621+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T07:36:35.623+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T07:36:36.665+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.71, 'humidity': 50.42, 'timestamp': '2024-11-03 07:36:35'}generating
[2024-11-03T07:36:36.673+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.73, 'humidity': 50.57, 'timestamp': '2024-11-03 07:36:36'}
[2024-11-03T07:36:37.782+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.73, 'humidity': 50.57, 'timestamp': '2024-11-03 07:36:36'}generating
[2024-11-03T07:36:37.782+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.35, 'humidity': 50.85, 'timestamp': '2024-11-03 07:36:37'}
[2024-11-03T07:36:38.879+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.35, 'humidity': 50.85, 'timestamp': '2024-11-03 07:36:37'}generating
[2024-11-03T07:36:38.879+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.15, 'humidity': 50.92, 'timestamp': '2024-11-03 07:36:38'}
[2024-11-03T07:36:40.016+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.15, 'humidity': 50.92, 'timestamp': '2024-11-03 07:36:38'}generating
[2024-11-03T07:36:40.017+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.71, 'humidity': 50.86, 'timestamp': '2024-11-03 07:36:40'}
[2024-11-03T07:36:41.105+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.71, 'humidity': 50.86, 'timestamp': '2024-11-03 07:36:40'}generating
[2024-11-03T07:36:41.112+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.16, 'humidity': 50.15, 'timestamp': '2024-11-03 07:36:41'}
[2024-11-03T07:36:42.130+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.16, 'humidity': 50.15, 'timestamp': '2024-11-03 07:36:41'}generating
[2024-11-03T07:36:42.141+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.72, 'humidity': 50.24, 'timestamp': '2024-11-03 07:36:42'}
[2024-11-03T07:36:43.177+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.72, 'humidity': 50.24, 'timestamp': '2024-11-03 07:36:42'}generating
[2024-11-03T07:36:43.178+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.29, 'humidity': 50.81, 'timestamp': '2024-11-03 07:36:43'}
[2024-11-03T07:36:44.222+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.29, 'humidity': 50.81, 'timestamp': '2024-11-03 07:36:43'}generating
[2024-11-03T07:36:44.223+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.78, 'humidity': 50.54, 'timestamp': '2024-11-03 07:36:44'}
[2024-11-03T07:36:45.250+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.78, 'humidity': 50.54, 'timestamp': '2024-11-03 07:36:44'}generating
[2024-11-03T07:36:45.252+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.57, 'humidity': 50.41, 'timestamp': '2024-11-03 07:36:45'}
[2024-11-03T07:36:46.284+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.57, 'humidity': 50.41, 'timestamp': '2024-11-03 07:36:45'}generating
[2024-11-03T07:36:46.288+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.27, 'humidity': 50.39, 'timestamp': '2024-11-03 07:36:46'}
[2024-11-03T07:36:47.380+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.27, 'humidity': 50.39, 'timestamp': '2024-11-03 07:36:46'}generating
[2024-11-03T07:36:47.409+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.97, 'humidity': 50.32, 'timestamp': '2024-11-03 07:36:47'}
[2024-11-03T07:36:48.468+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.97, 'humidity': 50.32, 'timestamp': '2024-11-03 07:36:47'}generating
[2024-11-03T07:36:48.469+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.58, 'humidity': 50.18, 'timestamp': '2024-11-03 07:36:48'}
[2024-11-03T07:36:49.498+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.58, 'humidity': 50.18, 'timestamp': '2024-11-03 07:36:48'}generating
[2024-11-03T07:36:49.505+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.45, 'humidity': 50.35, 'timestamp': '2024-11-03 07:36:49'}
[2024-11-03T07:36:50.557+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.45, 'humidity': 50.35, 'timestamp': '2024-11-03 07:36:49'}generating
[2024-11-03T07:36:50.562+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.8, 'humidity': 50.73, 'timestamp': '2024-11-03 07:36:50'}
[2024-11-03T07:36:51.715+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.8, 'humidity': 50.73, 'timestamp': '2024-11-03 07:36:50'}generating
[2024-11-03T07:36:51.725+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.8, 'humidity': 50.12, 'timestamp': '2024-11-03 07:36:51'}
[2024-11-03T07:36:53.029+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.8, 'humidity': 50.12, 'timestamp': '2024-11-03 07:36:51'}generating
[2024-11-03T07:36:53.039+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.19, 'humidity': 50.2, 'timestamp': '2024-11-03 07:36:53'}
[2024-11-03T07:36:54.095+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.19, 'humidity': 50.2, 'timestamp': '2024-11-03 07:36:53'}generating
[2024-11-03T07:36:54.096+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.23, 'humidity': 50.02, 'timestamp': '2024-11-03 07:36:54'}
