[2024-11-03T07:51:24.499+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T07:51:24.705+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T07:48:00+00:00 [queued]>
[2024-11-03T07:51:24.731+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T07:48:00+00:00 [queued]>
[2024-11-03T07:51:24.732+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T07:51:26.471+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 07:48:00+00:00
[2024-11-03T07:51:26.565+0000] {standard_task_runner.py:64} INFO - Started process 1599 to run task
[2024-11-03T07:51:26.582+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T07:48:00+00:00', '--job-id', '52', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpoank3wpz']
[2024-11-03T07:51:26.594+0000] {standard_task_runner.py:91} INFO - Job 52: Subtask fetch_data_from_api
[2024-11-03T07:51:26.989+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T07:48:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T07:51:28.524+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T07:48:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T07:48:00+00:00'
[2024-11-03T07:51:28.526+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T07:51:28.735+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T07:51:28.736+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.77, 'humidity': 50.94, 'timestamp': '2024-11-03 07:51:28'}
[2024-11-03T07:51:28.752+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T07:51:28.765+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T07:51:28.860+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T07:51:28.865+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T07:51:28.866+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T07:51:29.932+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.77, 'humidity': 50.94, 'timestamp': '2024-11-03 07:51:28'}generating
[2024-11-03T07:51:29.939+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.67, 'timestamp': '2024-11-03 07:51:29'}
[2024-11-03T07:51:30.979+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.67, 'timestamp': '2024-11-03 07:51:29'}generating
[2024-11-03T07:51:31.019+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.72, 'humidity': 50.81, 'timestamp': '2024-11-03 07:51:30'}
[2024-11-03T07:51:32.278+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.72, 'humidity': 50.81, 'timestamp': '2024-11-03 07:51:30'}generating
[2024-11-03T07:51:32.281+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.76, 'humidity': 50.97, 'timestamp': '2024-11-03 07:51:32'}
