[2024-11-03T08:54:35.625+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T08:54:38.540+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T08:51:00+00:00 [queued]>
[2024-11-03T08:54:38.626+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T08:51:00+00:00 [queued]>
[2024-11-03T08:54:38.627+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T08:54:53.332+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 08:51:00+00:00
[2024-11-03T08:54:53.825+0000] {standard_task_runner.py:64} INFO - Started process 1455 to run task
[2024-11-03T08:54:54.038+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T08:51:00+00:00', '--job-id', '116', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpj5dno2rq']
[2024-11-03T08:54:54.274+0000] {standard_task_runner.py:91} INFO - Job 116: Subtask fetch_data_from_api
[2024-11-03T08:54:56.534+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T08:51:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T08:54:59.247+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T08:51:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T08:51:00+00:00'
[2024-11-03T08:54:59.276+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T08:54:59.658+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T08:54:59.666+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.3, 'humidity': 50.73, 'timestamp': '2024-11-03 08:54:59'}
[2024-11-03T08:54:59.674+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T08:54:59.719+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T08:54:59.931+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T08:54:59.973+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T08:55:00.001+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T08:55:01.282+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.3, 'humidity': 50.73, 'timestamp': '2024-11-03 08:54:59'}generating
[2024-11-03T08:55:01.372+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.22, 'humidity': 50.1, 'timestamp': '2024-11-03 08:55:01'}
[2024-11-03T08:55:02.655+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.22, 'humidity': 50.1, 'timestamp': '2024-11-03 08:55:01'}generating
[2024-11-03T08:55:02.870+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.6, 'humidity': 50.1, 'timestamp': '2024-11-03 08:55:02'}
[2024-11-03T08:55:03.993+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.6, 'humidity': 50.1, 'timestamp': '2024-11-03 08:55:02'}generating
[2024-11-03T08:55:03.994+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.13, 'humidity': 50.73, 'timestamp': '2024-11-03 08:55:03'}
