[2024-11-03T09:21:08.093+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T09:21:08.285+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T09:18:00+00:00 [queued]>
[2024-11-03T09:21:08.337+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T09:18:00+00:00 [queued]>
[2024-11-03T09:21:08.338+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T09:21:08.877+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 09:18:00+00:00
[2024-11-03T09:21:08.949+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T09:18:00+00:00', '--job-id', '142', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpxpmqitgf']
[2024-11-03T09:21:08.955+0000] {standard_task_runner.py:91} INFO - Job 142: Subtask fetch_data_from_api
[2024-11-03T09:21:08.936+0000] {standard_task_runner.py:64} INFO - Started process 2532 to run task
[2024-11-03T09:21:09.398+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T09:18:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T09:21:10.296+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T09:18:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T09:18:00+00:00'
[2024-11-03T09:21:10.302+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T09:21:10.413+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T09:21:10.415+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.34, 'humidity': 50.44, 'timestamp': '2024-11-03 09:21:10'}
[2024-11-03T09:21:10.422+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T09:21:10.430+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T09:21:10.461+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T09:21:10.470+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T09:21:10.471+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T09:21:11.493+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.34, 'humidity': 50.44, 'timestamp': '2024-11-03 09:21:10'}generating
[2024-11-03T09:21:11.493+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.31, 'humidity': 50.85, 'timestamp': '2024-11-03 09:21:11'}
[2024-11-03T09:21:12.507+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.31, 'humidity': 50.85, 'timestamp': '2024-11-03 09:21:11'}generating
[2024-11-03T09:21:12.508+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.79, 'humidity': 50.69, 'timestamp': '2024-11-03 09:21:12'}
[2024-11-03T09:21:13.516+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.79, 'humidity': 50.69, 'timestamp': '2024-11-03 09:21:12'}generating
[2024-11-03T09:21:13.517+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.68, 'humidity': 50.1, 'timestamp': '2024-11-03 09:21:13'}
[2024-11-03T09:21:14.528+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.68, 'humidity': 50.1, 'timestamp': '2024-11-03 09:21:13'}generating
[2024-11-03T09:21:14.542+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.31, 'humidity': 50.45, 'timestamp': '2024-11-03 09:21:14'}
[2024-11-03T09:21:15.549+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.31, 'humidity': 50.45, 'timestamp': '2024-11-03 09:21:14'}generating
[2024-11-03T09:21:15.553+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.28, 'humidity': 50.87, 'timestamp': '2024-11-03 09:21:15'}
[2024-11-03T09:21:16.561+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.28, 'humidity': 50.87, 'timestamp': '2024-11-03 09:21:15'}generating
[2024-11-03T09:21:16.564+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.74, 'humidity': 50.24, 'timestamp': '2024-11-03 09:21:16'}
[2024-11-03T09:21:17.596+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.74, 'humidity': 50.24, 'timestamp': '2024-11-03 09:21:16'}generating
[2024-11-03T09:21:17.601+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.95, 'humidity': 50.64, 'timestamp': '2024-11-03 09:21:17'}
