[2024-11-03T09:54:12.026+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T09:54:12.312+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T09:51:00+00:00 [queued]>
[2024-11-03T09:54:12.363+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T09:51:00+00:00 [queued]>
[2024-11-03T09:54:12.365+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T09:54:12.752+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 09:51:00+00:00
[2024-11-03T09:54:12.809+0000] {standard_task_runner.py:64} INFO - Started process 4060 to run task
[2024-11-03T09:54:12.849+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T09:51:00+00:00', '--job-id', '181', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp6iq0tazh']
[2024-11-03T09:54:12.884+0000] {standard_task_runner.py:91} INFO - Job 181: Subtask fetch_data_from_api
[2024-11-03T09:54:13.366+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T09:51:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T09:54:14.158+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T09:51:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T09:51:00+00:00'
[2024-11-03T09:54:14.159+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T09:54:14.230+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T09:54:14.232+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.44, 'humidity': 50.81, 'timestamp': '2024-11-03 09:54:14'}
[2024-11-03T09:54:14.238+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T09:54:14.246+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T09:54:14.280+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T09:54:14.307+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T09:54:14.311+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T09:54:15.423+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.44, 'humidity': 50.81, 'timestamp': '2024-11-03 09:54:14'}generating
[2024-11-03T09:54:15.428+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.98, 'humidity': 50.86, 'timestamp': '2024-11-03 09:54:15'}
[2024-11-03T09:54:16.456+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.98, 'humidity': 50.86, 'timestamp': '2024-11-03 09:54:15'}generating
[2024-11-03T09:54:16.457+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.93, 'humidity': 50.96, 'timestamp': '2024-11-03 09:54:16'}
[2024-11-03T09:54:17.489+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.93, 'humidity': 50.96, 'timestamp': '2024-11-03 09:54:16'}generating
[2024-11-03T09:54:17.497+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.37, 'humidity': 50.12, 'timestamp': '2024-11-03 09:54:17'}
