[2024-11-03T09:06:43.130+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T09:06:43.606+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T09:03:00+00:00 [queued]>
[2024-11-03T09:06:43.678+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T09:03:00+00:00 [queued]>
[2024-11-03T09:06:43.679+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T09:06:44.913+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 09:03:00+00:00
[2024-11-03T09:06:45.023+0000] {standard_task_runner.py:64} INFO - Started process 1919 to run task
[2024-11-03T09:06:45.109+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T09:03:00+00:00', '--job-id', '125', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp5ckpyt57']
[2024-11-03T09:06:45.194+0000] {standard_task_runner.py:91} INFO - Job 125: Subtask fetch_data_from_api
[2024-11-03T09:06:45.951+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T09:03:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T09:06:48.485+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T09:03:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T09:03:00+00:00'
[2024-11-03T09:06:48.486+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T09:06:48.632+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T09:06:48.636+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.65, 'humidity': 50.27, 'timestamp': '2024-11-03 09:06:48'}
[2024-11-03T09:06:48.644+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T09:06:48.645+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T09:06:48.683+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T09:06:48.719+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T09:06:48.721+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T09:06:49.945+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.65, 'humidity': 50.27, 'timestamp': '2024-11-03 09:06:48'}generating
[2024-11-03T09:06:49.959+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.67, 'humidity': 50.79, 'timestamp': '2024-11-03 09:06:49'}
[2024-11-03T09:06:51.062+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.67, 'humidity': 50.79, 'timestamp': '2024-11-03 09:06:49'}generating
[2024-11-03T09:06:51.062+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.32, 'humidity': 50.21, 'timestamp': '2024-11-03 09:06:51'}
[2024-11-03T09:06:52.110+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.32, 'humidity': 50.21, 'timestamp': '2024-11-03 09:06:51'}generating
[2024-11-03T09:06:52.111+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.09, 'humidity': 50.02, 'timestamp': '2024-11-03 09:06:52'}
