[2024-11-03T10:21:17.017+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T10:21:17.484+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T10:18:00+00:00 [queued]>
[2024-11-03T10:21:17.576+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T10:18:00+00:00 [queued]>
[2024-11-03T10:21:17.577+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T10:21:19.585+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 10:18:00+00:00
[2024-11-03T10:21:19.830+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T10:18:00+00:00', '--job-id', '214', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpp2g3s2xh']
[2024-11-03T10:21:20.031+0000] {standard_task_runner.py:91} INFO - Job 214: Subtask fetch_data_from_api
[2024-11-03T10:21:19.856+0000] {standard_task_runner.py:64} INFO - Started process 5333 to run task
[2024-11-03T10:21:21.645+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T10:18:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T10:21:23.270+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T10:18:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T10:18:00+00:00'
[2024-11-03T10:21:23.289+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T10:21:23.535+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T10:21:23.541+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.24, 'humidity': 50.82, 'timestamp': '2024-11-03 10:21:23'}
[2024-11-03T10:21:23.545+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T10:21:23.551+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T10:21:23.566+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T10:21:23.568+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T10:21:23.570+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T10:21:24.613+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.24, 'humidity': 50.82, 'timestamp': '2024-11-03 10:21:23'}generating
[2024-11-03T10:21:24.616+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.28, 'humidity': 50.5, 'timestamp': '2024-11-03 10:21:24'}
[2024-11-03T10:21:25.652+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.28, 'humidity': 50.5, 'timestamp': '2024-11-03 10:21:24'}generating
[2024-11-03T10:21:25.667+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.85, 'humidity': 50.27, 'timestamp': '2024-11-03 10:21:25'}
[2024-11-03T10:21:26.714+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.85, 'humidity': 50.27, 'timestamp': '2024-11-03 10:21:25'}generating
[2024-11-03T10:21:26.715+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.85, 'humidity': 50.88, 'timestamp': '2024-11-03 10:21:26'}
[2024-11-03T10:21:27.732+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.85, 'humidity': 50.88, 'timestamp': '2024-11-03 10:21:26'}generating
