[2024-11-03T11:03:17.365+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T11:03:17.541+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:00:00+00:00 [queued]>
[2024-11-03T11:03:17.612+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:00:00+00:00 [queued]>
[2024-11-03T11:03:17.613+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T11:03:18.304+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 11:00:00+00:00
[2024-11-03T11:03:18.400+0000] {standard_task_runner.py:64} INFO - Started process 7436 to run task
[2024-11-03T11:03:18.490+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T11:00:00+00:00', '--job-id', '264', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpy1bs4927']
[2024-11-03T11:03:18.509+0000] {standard_task_runner.py:91} INFO - Job 264: Subtask fetch_data_from_api
[2024-11-03T11:03:19.280+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:00:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T11:03:20.963+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T11:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T11:00:00+00:00'
[2024-11-03T11:03:20.979+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T11:03:21.143+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T11:03:21.146+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.89, 'humidity': 50.78, 'timestamp': '2024-11-03 11:03:21'}
[2024-11-03T11:03:21.167+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T11:03:21.196+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T11:03:21.239+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T11:03:21.255+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T11:03:21.257+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T11:03:22.304+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.89, 'humidity': 50.78, 'timestamp': '2024-11-03 11:03:21'}generating
[2024-11-03T11:03:22.309+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.98, 'timestamp': '2024-11-03 11:03:22'}
[2024-11-03T11:03:23.445+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.98, 'timestamp': '2024-11-03 11:03:22'}generating
[2024-11-03T11:03:23.452+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.19, 'humidity': 50.07, 'timestamp': '2024-11-03 11:03:23'}
[2024-11-03T11:03:24.595+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.19, 'humidity': 50.07, 'timestamp': '2024-11-03 11:03:23'}generating
[2024-11-03T11:03:24.617+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.91, 'humidity': 50.49, 'timestamp': '2024-11-03 11:03:24'}
