[2024-11-03T11:12:08.571+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T11:12:08.824+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:09:00+00:00 [queued]>
[2024-11-03T11:12:08.869+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:09:00+00:00 [queued]>
[2024-11-03T11:12:08.871+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T11:12:09.527+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 11:09:00+00:00
[2024-11-03T11:12:09.558+0000] {standard_task_runner.py:64} INFO - Started process 7928 to run task
[2024-11-03T11:12:09.577+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T11:09:00+00:00', '--job-id', '275', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp9y9uaud6']
[2024-11-03T11:12:09.587+0000] {standard_task_runner.py:91} INFO - Job 275: Subtask fetch_data_from_api
[2024-11-03T11:12:09.942+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:09:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T11:12:10.707+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T11:09:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T11:09:00+00:00'
[2024-11-03T11:12:10.734+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T11:12:10.883+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T11:12:10.885+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.85, 'humidity': 50.94, 'timestamp': '2024-11-03 11:12:10'}
[2024-11-03T11:12:10.890+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T11:12:10.895+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T11:12:10.914+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T11:12:10.917+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T11:12:10.923+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T11:12:11.941+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.85, 'humidity': 50.94, 'timestamp': '2024-11-03 11:12:10'}generating
[2024-11-03T11:12:11.949+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.45, 'humidity': 50.1, 'timestamp': '2024-11-03 11:12:11'}
[2024-11-03T11:12:12.969+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.45, 'humidity': 50.1, 'timestamp': '2024-11-03 11:12:11'}generating
[2024-11-03T11:12:12.970+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.34, 'humidity': 50.55, 'timestamp': '2024-11-03 11:12:12'}
[2024-11-03T11:12:13.989+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.34, 'humidity': 50.55, 'timestamp': '2024-11-03 11:12:12'}generating
[2024-11-03T11:12:13.990+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.44, 'humidity': 50.55, 'timestamp': '2024-11-03 11:12:13'}
