[2024-11-03T11:57:13.916+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T11:57:14.273+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:54:00+00:00 [queued]>
[2024-11-03T11:57:14.418+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:54:00+00:00 [queued]>
[2024-11-03T11:57:14.430+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T11:57:15.141+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 11:54:00+00:00
[2024-11-03T11:57:15.174+0000] {standard_task_runner.py:64} INFO - Started process 1141 to run task
[2024-11-03T11:57:15.213+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T11:54:00+00:00', '--job-id', '322', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmprrcv2_y0']
[2024-11-03T11:57:15.222+0000] {standard_task_runner.py:91} INFO - Job 322: Subtask fetch_data_from_api
[2024-11-03T11:57:15.652+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:54:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T11:57:16.203+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T11:54:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T11:54:00+00:00'
[2024-11-03T11:57:16.207+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T11:57:16.321+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T11:57:16.322+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.38, 'humidity': 50.65, 'timestamp': '2024-11-03 11:57:16'}
[2024-11-03T11:57:16.327+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T11:57:16.350+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T11:57:16.364+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T11:57:16.369+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T11:57:16.369+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T11:57:17.387+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.38, 'humidity': 50.65, 'timestamp': '2024-11-03 11:57:16'}generating
[2024-11-03T11:57:17.388+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.38, 'humidity': 50.9, 'timestamp': '2024-11-03 11:57:17'}
[2024-11-03T11:57:18.409+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.38, 'humidity': 50.9, 'timestamp': '2024-11-03 11:57:17'}generating
[2024-11-03T11:57:18.410+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.62, 'humidity': 50.91, 'timestamp': '2024-11-03 11:57:18'}
[2024-11-03T11:57:19.438+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.62, 'humidity': 50.91, 'timestamp': '2024-11-03 11:57:18'}generating
[2024-11-03T11:57:19.440+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.24, 'humidity': 50.66, 'timestamp': '2024-11-03 11:57:19'}
[2024-11-03T11:57:20.492+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.24, 'humidity': 50.66, 'timestamp': '2024-11-03 11:57:19'}generating
[2024-11-03T11:57:20.498+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.67, 'humidity': 50.76, 'timestamp': '2024-11-03 11:57:20'}
[2024-11-03T11:57:21.547+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.67, 'humidity': 50.76, 'timestamp': '2024-11-03 11:57:20'}generating
[2024-11-03T11:57:21.551+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.31, 'humidity': 50.67, 'timestamp': '2024-11-03 11:57:21'}
[2024-11-03T11:57:22.631+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.31, 'humidity': 50.67, 'timestamp': '2024-11-03 11:57:21'}generating
[2024-11-03T11:57:22.632+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.49, 'humidity': 50.84, 'timestamp': '2024-11-03 11:57:22'}
[2024-11-03T11:57:23.659+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.49, 'humidity': 50.84, 'timestamp': '2024-11-03 11:57:22'}generating
[2024-11-03T11:57:23.660+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.43, 'humidity': 50.11, 'timestamp': '2024-11-03 11:57:23'}
[2024-11-03T11:57:24.732+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.43, 'humidity': 50.11, 'timestamp': '2024-11-03 11:57:23'}generating
[2024-11-03T11:57:24.733+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.95, 'humidity': 50.12, 'timestamp': '2024-11-03 11:57:24'}
[2024-11-03T11:57:25.824+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.95, 'humidity': 50.12, 'timestamp': '2024-11-03 11:57:24'}generating
[2024-11-03T11:57:25.825+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.8, 'humidity': 50.1, 'timestamp': '2024-11-03 11:57:25'}
[2024-11-03T11:57:26.916+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.8, 'humidity': 50.1, 'timestamp': '2024-11-03 11:57:25'}generating
[2024-11-03T11:57:26.928+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.67, 'humidity': 50.12, 'timestamp': '2024-11-03 11:57:26'}
[2024-11-03T11:57:27.945+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.67, 'humidity': 50.12, 'timestamp': '2024-11-03 11:57:26'}generating
[2024-11-03T11:57:27.946+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.05, 'humidity': 50.25, 'timestamp': '2024-11-03 11:57:27'}
[2024-11-03T11:57:28.962+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.05, 'humidity': 50.25, 'timestamp': '2024-11-03 11:57:27'}generating
[2024-11-03T11:57:28.989+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.48, 'humidity': 50.44, 'timestamp': '2024-11-03 11:57:28'}
[2024-11-03T11:57:30.096+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.48, 'humidity': 50.44, 'timestamp': '2024-11-03 11:57:28'}generating
[2024-11-03T11:57:30.100+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.17, 'humidity': 50.94, 'timestamp': '2024-11-03 11:57:30'}
[2024-11-03T11:57:31.121+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.17, 'humidity': 50.94, 'timestamp': '2024-11-03 11:57:30'}generating
[2024-11-03T11:57:31.121+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.31, 'humidity': 50.9, 'timestamp': '2024-11-03 11:57:31'}
[2024-11-03T11:57:32.144+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.31, 'humidity': 50.9, 'timestamp': '2024-11-03 11:57:31'}generating
[2024-11-03T11:57:32.147+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.79, 'humidity': 50.32, 'timestamp': '2024-11-03 11:57:32'}
[2024-11-03T11:57:33.159+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.79, 'humidity': 50.32, 'timestamp': '2024-11-03 11:57:32'}generating
[2024-11-03T11:57:33.160+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.16, 'humidity': 50.08, 'timestamp': '2024-11-03 11:57:33'}
[2024-11-03T11:57:34.169+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.16, 'humidity': 50.08, 'timestamp': '2024-11-03 11:57:33'}generating
[2024-11-03T11:57:34.170+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.61, 'humidity': 50.56, 'timestamp': '2024-11-03 11:57:34'}
[2024-11-03T11:57:35.177+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.61, 'humidity': 50.56, 'timestamp': '2024-11-03 11:57:34'}generating
[2024-11-03T11:57:35.178+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.88, 'humidity': 50.79, 'timestamp': '2024-11-03 11:57:35'}
[2024-11-03T11:57:36.197+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.88, 'humidity': 50.79, 'timestamp': '2024-11-03 11:57:35'}generating
[2024-11-03T11:57:36.228+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.99, 'humidity': 50.68, 'timestamp': '2024-11-03 11:57:36'}
[2024-11-03T11:57:37.521+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.99, 'humidity': 50.68, 'timestamp': '2024-11-03 11:57:36'}generating
[2024-11-03T11:57:37.539+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.85, 'humidity': 50.42, 'timestamp': '2024-11-03 11:57:37'}
[2024-11-03T11:57:38.596+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.85, 'humidity': 50.42, 'timestamp': '2024-11-03 11:57:37'}generating
[2024-11-03T11:57:38.597+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.53, 'humidity': 50.68, 'timestamp': '2024-11-03 11:57:38'}
[2024-11-03T11:57:39.719+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.53, 'humidity': 50.68, 'timestamp': '2024-11-03 11:57:38'}generating
[2024-11-03T11:57:39.773+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.54, 'humidity': 50.23, 'timestamp': '2024-11-03 11:57:39'}
[2024-11-03T11:57:41.559+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.54, 'humidity': 50.23, 'timestamp': '2024-11-03 11:57:39'}generating
[2024-11-03T11:57:41.629+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.29, 'humidity': 50.43, 'timestamp': '2024-11-03 11:57:41'}
[2024-11-03T11:57:42.728+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.29, 'humidity': 50.43, 'timestamp': '2024-11-03 11:57:41'}generating
[2024-11-03T11:57:42.729+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.03, 'humidity': 50.78, 'timestamp': '2024-11-03 11:57:42'}
[2024-11-03T11:57:43.756+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.03, 'humidity': 50.78, 'timestamp': '2024-11-03 11:57:42'}generating
[2024-11-03T11:57:43.756+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.2, 'humidity': 50.7, 'timestamp': '2024-11-03 11:57:43'}
[2024-11-03T11:57:44.805+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.2, 'humidity': 50.7, 'timestamp': '2024-11-03 11:57:43'}generating
[2024-11-03T11:57:44.824+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.23, 'humidity': 50.53, 'timestamp': '2024-11-03 11:57:44'}
[2024-11-03T11:57:45.870+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.23, 'humidity': 50.53, 'timestamp': '2024-11-03 11:57:44'}generating
[2024-11-03T11:57:45.876+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.15, 'humidity': 50.15, 'timestamp': '2024-11-03 11:57:45'}
[2024-11-03T11:57:46.895+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.15, 'humidity': 50.15, 'timestamp': '2024-11-03 11:57:45'}generating
[2024-11-03T11:57:46.901+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.93, 'humidity': 50.57, 'timestamp': '2024-11-03 11:57:46'}
[2024-11-03T11:57:47.948+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.93, 'humidity': 50.57, 'timestamp': '2024-11-03 11:57:46'}generating
[2024-11-03T11:57:47.949+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.48, 'humidity': 50.24, 'timestamp': '2024-11-03 11:57:47'}
[2024-11-03T11:57:48.992+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.48, 'humidity': 50.24, 'timestamp': '2024-11-03 11:57:47'}generating
[2024-11-03T11:57:48.998+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.25, 'humidity': 50.92, 'timestamp': '2024-11-03 11:57:48'}
[2024-11-03T11:57:50.019+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.25, 'humidity': 50.92, 'timestamp': '2024-11-03 11:57:48'}generating
[2024-11-03T11:57:50.021+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.67, 'humidity': 50.86, 'timestamp': '2024-11-03 11:57:50'}
