[2024-11-03T11:42:17.525+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T11:42:17.691+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:39:00+00:00 [queued]>
[2024-11-03T11:42:17.710+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:39:00+00:00 [queued]>
[2024-11-03T11:42:17.710+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T11:42:18.218+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 11:39:00+00:00
[2024-11-03T11:42:18.308+0000] {standard_task_runner.py:64} INFO - Started process 657 to run task
[2024-11-03T11:42:18.326+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T11:39:00+00:00', '--job-id', '307', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpxr1_ver7']
[2024-11-03T11:42:18.365+0000] {standard_task_runner.py:91} INFO - Job 307: Subtask fetch_data_from_api
[2024-11-03T11:42:19.053+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:39:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T11:42:23.182+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T11:39:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T11:39:00+00:00'
[2024-11-03T11:42:23.183+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T11:42:23.366+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T11:42:23.366+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.64, 'humidity': 50.37, 'timestamp': '2024-11-03 11:42:23'}
[2024-11-03T11:42:23.383+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T11:42:23.399+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T11:42:23.476+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T11:42:23.491+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T11:42:23.499+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T11:42:24.810+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.64, 'humidity': 50.37, 'timestamp': '2024-11-03 11:42:23'}generating
[2024-11-03T11:42:24.811+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.39, 'humidity': 50.87, 'timestamp': '2024-11-03 11:42:24'}
[2024-11-03T11:42:25.913+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.39, 'humidity': 50.87, 'timestamp': '2024-11-03 11:42:24'}generating
[2024-11-03T11:42:25.917+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.31, 'humidity': 50.61, 'timestamp': '2024-11-03 11:42:25'}
[2024-11-03T11:42:27.044+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.31, 'humidity': 50.61, 'timestamp': '2024-11-03 11:42:25'}generating
[2024-11-03T11:42:27.148+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.32, 'humidity': 50.75, 'timestamp': '2024-11-03 11:42:27'}
[2024-11-03T11:42:28.527+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.32, 'humidity': 50.75, 'timestamp': '2024-11-03 11:42:27'}generating
[2024-11-03T11:42:28.528+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.89, 'humidity': 50.05, 'timestamp': '2024-11-03 11:42:28'}
[2024-11-03T11:42:29.651+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.89, 'humidity': 50.05, 'timestamp': '2024-11-03 11:42:28'}generating
[2024-11-03T11:42:29.654+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.64, 'humidity': 50.3, 'timestamp': '2024-11-03 11:42:29'}
[2024-11-03T11:42:30.709+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.64, 'humidity': 50.3, 'timestamp': '2024-11-03 11:42:29'}generating
[2024-11-03T11:42:30.710+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.23, 'humidity': 50.35, 'timestamp': '2024-11-03 11:42:30'}
[2024-11-03T11:42:32.040+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.23, 'humidity': 50.35, 'timestamp': '2024-11-03 11:42:30'}generating
[2024-11-03T11:42:32.050+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.47, 'humidity': 50.26, 'timestamp': '2024-11-03 11:42:32'}
[2024-11-03T11:42:33.207+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.47, 'humidity': 50.26, 'timestamp': '2024-11-03 11:42:32'}generating
[2024-11-03T11:42:33.209+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.96, 'humidity': 50.48, 'timestamp': '2024-11-03 11:42:33'}
[2024-11-03T11:42:34.229+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.96, 'humidity': 50.48, 'timestamp': '2024-11-03 11:42:33'}generating
[2024-11-03T11:42:34.232+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.69, 'humidity': 50.07, 'timestamp': '2024-11-03 11:42:34'}
[2024-11-03T11:42:35.259+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.69, 'humidity': 50.07, 'timestamp': '2024-11-03 11:42:34'}generating
[2024-11-03T11:42:35.269+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.31, 'humidity': 50.96, 'timestamp': '2024-11-03 11:42:35'}
[2024-11-03T11:42:36.323+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.31, 'humidity': 50.96, 'timestamp': '2024-11-03 11:42:35'}generating
