[2024-11-03T11:48:06.319+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T11:48:06.553+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:45:00+00:00 [queued]>
[2024-11-03T11:48:06.598+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:45:00+00:00 [queued]>
[2024-11-03T11:48:06.600+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T11:48:07.308+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 11:45:00+00:00
[2024-11-03T11:48:07.385+0000] {standard_task_runner.py:64} INFO - Started process 845 to run task
[2024-11-03T11:48:07.422+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T11:45:00+00:00', '--job-id', '313', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpo8req5vk']
[2024-11-03T11:48:07.501+0000] {standard_task_runner.py:91} INFO - Job 313: Subtask fetch_data_from_api
[2024-11-03T11:48:07.834+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T11:45:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T11:48:08.693+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T11:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T11:45:00+00:00'
[2024-11-03T11:48:08.703+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T11:48:08.842+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T11:48:08.844+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.88, 'humidity': 50.41, 'timestamp': '2024-11-03 11:48:08'}
[2024-11-03T11:48:08.858+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T11:48:08.865+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T11:48:08.899+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T11:48:08.903+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T11:48:08.907+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T11:48:09.967+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.88, 'humidity': 50.41, 'timestamp': '2024-11-03 11:48:08'}generating
[2024-11-03T11:48:09.973+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.8, 'humidity': 50.03, 'timestamp': '2024-11-03 11:48:09'}
[2024-11-03T11:48:11.000+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.8, 'humidity': 50.03, 'timestamp': '2024-11-03 11:48:09'}generating
[2024-11-03T11:48:11.006+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.34, 'humidity': 50.26, 'timestamp': '2024-11-03 11:48:11'}
[2024-11-03T11:48:12.043+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.34, 'humidity': 50.26, 'timestamp': '2024-11-03 11:48:11'}generating
[2024-11-03T11:48:12.043+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.21, 'humidity': 50.42, 'timestamp': '2024-11-03 11:48:12'}
[2024-11-03T11:48:13.082+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.21, 'humidity': 50.42, 'timestamp': '2024-11-03 11:48:12'}generating
[2024-11-03T11:48:13.083+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.41, 'humidity': 50.44, 'timestamp': '2024-11-03 11:48:13'}
[2024-11-03T11:48:14.594+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.41, 'humidity': 50.44, 'timestamp': '2024-11-03 11:48:13'}generating
[2024-11-03T11:48:14.702+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.8, 'humidity': 50.59, 'timestamp': '2024-11-03 11:48:14'}
[2024-11-03T11:48:15.870+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.8, 'humidity': 50.59, 'timestamp': '2024-11-03 11:48:14'}generating
[2024-11-03T11:48:15.873+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.46, 'humidity': 50.6, 'timestamp': '2024-11-03 11:48:15'}
[2024-11-03T11:48:17.552+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.46, 'humidity': 50.6, 'timestamp': '2024-11-03 11:48:15'}generating
[2024-11-03T11:48:17.562+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.83, 'humidity': 50.01, 'timestamp': '2024-11-03 11:48:17'}
[2024-11-03T11:48:18.656+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.83, 'humidity': 50.01, 'timestamp': '2024-11-03 11:48:17'}generating
[2024-11-03T11:48:18.664+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.03, 'humidity': 50.73, 'timestamp': '2024-11-03 11:48:18'}
[2024-11-03T11:48:19.745+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.03, 'humidity': 50.73, 'timestamp': '2024-11-03 11:48:18'}generating
[2024-11-03T11:48:19.747+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.39, 'humidity': 50.86, 'timestamp': '2024-11-03 11:48:19'}
[2024-11-03T11:48:20.783+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.39, 'humidity': 50.86, 'timestamp': '2024-11-03 11:48:19'}generating
[2024-11-03T11:48:20.805+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.16, 'humidity': 50.73, 'timestamp': '2024-11-03 11:48:20'}
[2024-11-03T11:48:21.841+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.16, 'humidity': 50.73, 'timestamp': '2024-11-03 11:48:20'}generating
[2024-11-03T11:48:21.865+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.05, 'humidity': 50.56, 'timestamp': '2024-11-03 11:48:21'}
[2024-11-03T11:48:22.950+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.05, 'humidity': 50.56, 'timestamp': '2024-11-03 11:48:21'}generating
[2024-11-03T11:48:22.959+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.22, 'humidity': 50.79, 'timestamp': '2024-11-03 11:48:22'}
[2024-11-03T11:48:24.012+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.22, 'humidity': 50.79, 'timestamp': '2024-11-03 11:48:22'}generating
[2024-11-03T11:48:24.018+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.51, 'humidity': 50.34, 'timestamp': '2024-11-03 11:48:23'}
[2024-11-03T11:48:25.110+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.51, 'humidity': 50.34, 'timestamp': '2024-11-03 11:48:23'}generating
[2024-11-03T11:48:25.112+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.11, 'humidity': 50.82, 'timestamp': '2024-11-03 11:48:25'}
[2024-11-03T11:48:26.143+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.11, 'humidity': 50.82, 'timestamp': '2024-11-03 11:48:25'}generating
[2024-11-03T11:48:26.145+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.76, 'humidity': 50.04, 'timestamp': '2024-11-03 11:48:26'}
[2024-11-03T11:48:27.178+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.76, 'humidity': 50.04, 'timestamp': '2024-11-03 11:48:26'}generating
[2024-11-03T11:48:27.179+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.94, 'timestamp': '2024-11-03 11:48:27'}
[2024-11-03T11:48:28.226+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.94, 'timestamp': '2024-11-03 11:48:27'}generating
[2024-11-03T11:48:28.230+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.48, 'humidity': 50.7, 'timestamp': '2024-11-03 11:48:28'}
[2024-11-03T11:48:29.241+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.48, 'humidity': 50.7, 'timestamp': '2024-11-03 11:48:28'}generating
[2024-11-03T11:48:29.243+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.74, 'humidity': 50.25, 'timestamp': '2024-11-03 11:48:29'}
[2024-11-03T11:48:30.259+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.74, 'humidity': 50.25, 'timestamp': '2024-11-03 11:48:29'}generating
[2024-11-03T11:48:30.263+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.68, 'humidity': 50.78, 'timestamp': '2024-11-03 11:48:30'}
[2024-11-03T11:48:31.276+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.68, 'humidity': 50.78, 'timestamp': '2024-11-03 11:48:30'}generating
[2024-11-03T11:48:31.277+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.08, 'humidity': 50.47, 'timestamp': '2024-11-03 11:48:31'}
[2024-11-03T11:48:32.291+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.08, 'humidity': 50.47, 'timestamp': '2024-11-03 11:48:31'}generating
[2024-11-03T11:48:32.292+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.46, 'humidity': 50.77, 'timestamp': '2024-11-03 11:48:32'}
[2024-11-03T11:48:33.508+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.46, 'humidity': 50.77, 'timestamp': '2024-11-03 11:48:32'}generating
[2024-11-03T11:48:33.553+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.4, 'humidity': 50.27, 'timestamp': '2024-11-03 11:48:33'}
[2024-11-03T11:48:34.749+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.4, 'humidity': 50.27, 'timestamp': '2024-11-03 11:48:33'}generating
[2024-11-03T11:48:34.753+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.57, 'humidity': 50.0, 'timestamp': '2024-11-03 11:48:34'}
[2024-11-03T11:48:35.767+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.57, 'humidity': 50.0, 'timestamp': '2024-11-03 11:48:34'}generating
[2024-11-03T11:48:35.768+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.47, 'humidity': 50.65, 'timestamp': '2024-11-03 11:48:35'}
[2024-11-03T11:48:36.804+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.47, 'humidity': 50.65, 'timestamp': '2024-11-03 11:48:35'}generating
[2024-11-03T11:48:36.805+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.46, 'humidity': 50.85, 'timestamp': '2024-11-03 11:48:36'}
[2024-11-03T11:48:37.813+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.46, 'humidity': 50.85, 'timestamp': '2024-11-03 11:48:36'}generating
[2024-11-03T11:48:37.818+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.81, 'humidity': 50.09, 'timestamp': '2024-11-03 11:48:37'}
[2024-11-03T11:48:38.828+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.81, 'humidity': 50.09, 'timestamp': '2024-11-03 11:48:37'}generating
[2024-11-03T11:48:38.829+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.75, 'humidity': 50.5, 'timestamp': '2024-11-03 11:48:38'}
[2024-11-03T11:48:39.840+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.75, 'humidity': 50.5, 'timestamp': '2024-11-03 11:48:38'}generating
[2024-11-03T11:48:39.841+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.79, 'humidity': 50.39, 'timestamp': '2024-11-03 11:48:39'}
[2024-11-03T11:48:40.863+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.79, 'humidity': 50.39, 'timestamp': '2024-11-03 11:48:39'}generating
[2024-11-03T11:48:40.869+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.35, 'humidity': 50.09, 'timestamp': '2024-11-03 11:48:40'}
[2024-11-03T11:48:41.890+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.35, 'humidity': 50.09, 'timestamp': '2024-11-03 11:48:40'}generating
[2024-11-03T11:48:41.891+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.64, 'humidity': 50.08, 'timestamp': '2024-11-03 11:48:41'}
