[2024-11-03T12:27:06.367+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T12:27:06.525+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T12:24:00+00:00 [queued]>
[2024-11-03T12:27:06.625+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T12:24:00+00:00 [queued]>
[2024-11-03T12:27:06.632+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T12:27:07.429+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 12:24:00+00:00
[2024-11-03T12:27:07.461+0000] {standard_task_runner.py:64} INFO - Started process 2117 to run task
[2024-11-03T12:27:07.486+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T12:24:00+00:00', '--job-id', '352', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpvlbtkejq']
[2024-11-03T12:27:07.496+0000] {standard_task_runner.py:91} INFO - Job 352: Subtask fetch_data_from_api
[2024-11-03T12:27:07.731+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T12:24:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T12:27:07.969+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T12:24:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T12:24:00+00:00'
[2024-11-03T12:27:07.971+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T12:27:08.020+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T12:27:08.021+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.56, 'humidity': 50.91, 'timestamp': '2024-11-03 12:27:08'}
[2024-11-03T12:27:08.025+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T12:27:08.027+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T12:27:08.038+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T12:27:08.039+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T12:27:08.040+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T12:27:09.047+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.56, 'humidity': 50.91, 'timestamp': '2024-11-03 12:27:08'}generating
[2024-11-03T12:27:09.047+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.38, 'humidity': 50.64, 'timestamp': '2024-11-03 12:27:09'}
[2024-11-03T12:27:10.054+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.38, 'humidity': 50.64, 'timestamp': '2024-11-03 12:27:09'}generating
[2024-11-03T12:27:10.055+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.17, 'humidity': 50.37, 'timestamp': '2024-11-03 12:27:10'}
[2024-11-03T12:27:11.063+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.17, 'humidity': 50.37, 'timestamp': '2024-11-03 12:27:10'}generating
[2024-11-03T12:27:11.064+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.67, 'humidity': 50.57, 'timestamp': '2024-11-03 12:27:11'}
[2024-11-03T12:27:12.077+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.67, 'humidity': 50.57, 'timestamp': '2024-11-03 12:27:11'}generating
[2024-11-03T12:27:12.091+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.23, 'humidity': 50.82, 'timestamp': '2024-11-03 12:27:12'}
