[2024-11-03T12:21:04.140+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T12:21:04.220+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T12:18:00+00:00 [queued]>
[2024-11-03T12:21:04.246+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T12:18:00+00:00 [queued]>
[2024-11-03T12:21:04.246+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T12:21:04.586+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 12:18:00+00:00
[2024-11-03T12:21:04.601+0000] {standard_task_runner.py:64} INFO - Started process 1921 to run task
[2024-11-03T12:21:04.611+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T12:18:00+00:00', '--job-id', '346', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpynmsvhdv']
[2024-11-03T12:21:04.615+0000] {standard_task_runner.py:91} INFO - Job 346: Subtask fetch_data_from_api
[2024-11-03T12:21:04.750+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T12:18:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T12:21:05.139+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T12:18:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T12:18:00+00:00'
[2024-11-03T12:21:05.141+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T12:21:05.178+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T12:21:05.179+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.76, 'humidity': 50.8, 'timestamp': '2024-11-03 12:21:05'}
[2024-11-03T12:21:05.184+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T12:21:05.188+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T12:21:05.204+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T12:21:05.206+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T12:21:05.207+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T12:21:06.216+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.76, 'humidity': 50.8, 'timestamp': '2024-11-03 12:21:05'}generating
[2024-11-03T12:21:06.218+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.08, 'humidity': 50.41, 'timestamp': '2024-11-03 12:21:06'}
[2024-11-03T12:21:07.240+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.08, 'humidity': 50.41, 'timestamp': '2024-11-03 12:21:06'}generating
[2024-11-03T12:21:07.240+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.08, 'humidity': 50.11, 'timestamp': '2024-11-03 12:21:07'}
[2024-11-03T12:21:08.250+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.08, 'humidity': 50.11, 'timestamp': '2024-11-03 12:21:07'}generating
[2024-11-03T12:21:08.252+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 30.0, 'humidity': 50.72, 'timestamp': '2024-11-03 12:21:08'}
