[2024-11-03T13:00:13.996+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T13:00:14.120+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T12:57:00+00:00 [queued]>
[2024-11-03T13:00:14.151+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T12:57:00+00:00 [queued]>
[2024-11-03T13:00:14.153+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T13:00:14.728+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 12:57:00+00:00
[2024-11-03T13:00:14.754+0000] {standard_task_runner.py:64} INFO - Started process 3219 to run task
[2024-11-03T13:00:14.768+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T12:57:00+00:00', '--job-id', '385', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpwsbbe8n5']
[2024-11-03T13:00:14.774+0000] {standard_task_runner.py:91} INFO - Job 385: Subtask fetch_data_from_api
[2024-11-03T13:00:14.996+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T12:57:00+00:00 [running]> on host 7d9160448bdc
[2024-11-03T13:00:15.544+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T12:57:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T12:57:00+00:00'
[2024-11-03T13:00:15.570+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T13:00:15.659+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T13:00:15.660+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.86, 'humidity': 50.93, 'timestamp': '2024-11-03 13:00:15'}
[2024-11-03T13:00:15.667+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T13:00:15.678+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T13:00:15.698+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T13:00:15.700+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T13:00:15.701+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T13:00:16.744+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.86, 'humidity': 50.93, 'timestamp': '2024-11-03 13:00:15'}generating
[2024-11-03T13:00:16.748+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.33, 'humidity': 50.84, 'timestamp': '2024-11-03 13:00:16'}
[2024-11-03T13:00:17.888+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.33, 'humidity': 50.84, 'timestamp': '2024-11-03 13:00:16'}generating
[2024-11-03T13:00:17.892+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.52, 'humidity': 50.55, 'timestamp': '2024-11-03 13:00:17'}
[2024-11-03T13:00:19.428+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.52, 'humidity': 50.55, 'timestamp': '2024-11-03 13:00:17'}generating
[2024-11-03T13:00:19.447+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.57, 'humidity': 50.39, 'timestamp': '2024-11-03 13:00:19'}
[2024-11-03T13:00:20.488+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.57, 'humidity': 50.39, 'timestamp': '2024-11-03 13:00:19'}generating
[2024-11-03T13:00:20.489+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.12, 'humidity': 50.84, 'timestamp': '2024-11-03 13:00:20'}
