[2024-11-03T14:21:02.964+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T14:21:03.213+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T14:18:00+00:00 [queued]>
[2024-11-03T14:21:03.231+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T14:18:00+00:00 [queued]>
[2024-11-03T14:21:03.232+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T14:21:03.269+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 14:18:00+00:00
[2024-11-03T14:21:03.284+0000] {standard_task_runner.py:64} INFO - Started process 1374 to run task
[2024-11-03T14:21:03.290+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T14:18:00+00:00', '--job-id', '491', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmplheaw48x']
[2024-11-03T14:21:03.294+0000] {standard_task_runner.py:91} INFO - Job 491: Subtask fetch_data_from_api
[2024-11-03T14:21:03.409+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T14:18:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T14:21:03.621+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T14:18:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T14:18:00+00:00'
[2024-11-03T14:21:03.622+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T14:21:03.651+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T14:21:03.652+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.69, 'humidity': 50.36, 'timestamp': '2024-11-03 14:21:03'}
[2024-11-03T14:21:03.655+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T14:21:03.656+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T14:21:03.664+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T14:21:03.666+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T14:21:03.667+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T14:21:04.674+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.69, 'humidity': 50.36, 'timestamp': '2024-11-03 14:21:03'}generating
[2024-11-03T14:21:04.674+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.57, 'humidity': 50.85, 'timestamp': '2024-11-03 14:21:04'}
[2024-11-03T14:21:05.684+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.57, 'humidity': 50.85, 'timestamp': '2024-11-03 14:21:04'}generating
[2024-11-03T14:21:05.685+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.53, 'humidity': 50.91, 'timestamp': '2024-11-03 14:21:05'}
[2024-11-03T14:21:06.693+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.53, 'humidity': 50.91, 'timestamp': '2024-11-03 14:21:05'}generating
[2024-11-03T14:21:06.695+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.82, 'humidity': 50.63, 'timestamp': '2024-11-03 14:21:06'}
