[2024-11-03T14:30:02.262+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T14:30:02.540+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T14:27:00+00:00 [queued]>
[2024-11-03T14:30:02.557+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T14:27:00+00:00 [queued]>
[2024-11-03T14:30:02.558+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T14:30:02.591+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 14:27:00+00:00
[2024-11-03T14:30:02.606+0000] {standard_task_runner.py:64} INFO - Started process 1673 to run task
[2024-11-03T14:30:02.617+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T14:27:00+00:00', '--job-id', '500', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpsos4ju4e']
[2024-11-03T14:30:02.620+0000] {standard_task_runner.py:91} INFO - Job 500: Subtask fetch_data_from_api
[2024-11-03T14:30:02.737+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T14:27:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T14:30:02.947+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T14:27:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T14:27:00+00:00'
[2024-11-03T14:30:02.948+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T14:30:02.988+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T14:30:02.989+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.38, 'humidity': 50.43, 'timestamp': '2024-11-03 14:30:02'}
[2024-11-03T14:30:02.992+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T14:30:02.993+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T14:30:03.004+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T14:30:03.005+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T14:30:03.006+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T14:30:04.030+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.38, 'humidity': 50.43, 'timestamp': '2024-11-03 14:30:02'}generating
[2024-11-03T14:30:04.032+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.84, 'humidity': 50.24, 'timestamp': '2024-11-03 14:30:04'}
[2024-11-03T14:30:05.038+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.84, 'humidity': 50.24, 'timestamp': '2024-11-03 14:30:04'}generating
[2024-11-03T14:30:05.039+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.17, 'humidity': 50.35, 'timestamp': '2024-11-03 14:30:05'}
[2024-11-03T14:30:06.051+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.17, 'humidity': 50.35, 'timestamp': '2024-11-03 14:30:05'}generating
[2024-11-03T14:30:06.054+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.45, 'humidity': 50.33, 'timestamp': '2024-11-03 14:30:06'}
