[2024-11-03T14:27:02.581+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T14:27:02.784+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T14:24:00+00:00 [queued]>
[2024-11-03T14:27:02.858+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T14:24:00+00:00 [queued]>
[2024-11-03T14:27:02.860+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T14:27:02.896+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 14:24:00+00:00
[2024-11-03T14:27:02.912+0000] {standard_task_runner.py:64} INFO - Started process 1577 to run task
[2024-11-03T14:27:02.923+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T14:24:00+00:00', '--job-id', '497', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpq3rovysd']
[2024-11-03T14:27:02.932+0000] {standard_task_runner.py:91} INFO - Job 497: Subtask fetch_data_from_api
[2024-11-03T14:27:03.079+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T14:24:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T14:27:03.302+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T14:24:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T14:24:00+00:00'
[2024-11-03T14:27:03.303+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T14:27:03.333+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T14:27:03.334+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.9, 'humidity': 50.67, 'timestamp': '2024-11-03 14:27:03'}
[2024-11-03T14:27:03.338+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T14:27:03.339+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T14:27:03.346+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T14:27:03.347+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T14:27:03.348+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T14:27:04.358+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.9, 'humidity': 50.67, 'timestamp': '2024-11-03 14:27:03'}generating
[2024-11-03T14:27:04.358+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.41, 'humidity': 50.25, 'timestamp': '2024-11-03 14:27:04'}
[2024-11-03T14:27:05.376+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.41, 'humidity': 50.25, 'timestamp': '2024-11-03 14:27:04'}generating
[2024-11-03T14:27:05.382+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.99, 'humidity': 50.53, 'timestamp': '2024-11-03 14:27:05'}
[2024-11-03T14:27:06.397+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.99, 'humidity': 50.53, 'timestamp': '2024-11-03 14:27:05'}generating
[2024-11-03T14:27:06.398+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.41, 'humidity': 50.16, 'timestamp': '2024-11-03 14:27:06'}
