[2024-11-03T15:33:02.653+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T15:33:02.921+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:30:00+00:00 [queued]>
[2024-11-03T15:33:02.942+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:30:00+00:00 [queued]>
[2024-11-03T15:33:02.943+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T15:33:02.982+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 15:30:00+00:00
[2024-11-03T15:33:02.995+0000] {standard_task_runner.py:64} INFO - Started process 3767 to run task
[2024-11-03T15:33:03.001+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T15:30:00+00:00', '--job-id', '563', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpdypwchvi']
[2024-11-03T15:33:03.005+0000] {standard_task_runner.py:91} INFO - Job 563: Subtask fetch_data_from_api
[2024-11-03T15:33:03.122+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:30:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T15:33:03.358+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T15:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T15:30:00+00:00'
[2024-11-03T15:33:03.359+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T15:33:03.385+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T15:33:03.386+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.09, 'humidity': 50.8, 'timestamp': '2024-11-03 15:33:03'}
[2024-11-03T15:33:03.388+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T15:33:03.394+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T15:33:03.402+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T15:33:03.403+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T15:33:03.404+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T15:33:04.413+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.09, 'humidity': 50.8, 'timestamp': '2024-11-03 15:33:03'}generating
[2024-11-03T15:33:04.416+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.78, 'humidity': 50.33, 'timestamp': '2024-11-03 15:33:04'}
[2024-11-03T15:33:05.434+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.78, 'humidity': 50.33, 'timestamp': '2024-11-03 15:33:04'}generating
[2024-11-03T15:33:05.441+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.95, 'humidity': 50.18, 'timestamp': '2024-11-03 15:33:05'}
[2024-11-03T15:33:06.455+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.95, 'humidity': 50.18, 'timestamp': '2024-11-03 15:33:05'}generating
[2024-11-03T15:33:06.457+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.85, 'humidity': 50.27, 'timestamp': '2024-11-03 15:33:06'}
[2024-11-03T15:33:07.465+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.85, 'humidity': 50.27, 'timestamp': '2024-11-03 15:33:06'}generating
[2024-11-03T15:33:07.467+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.83, 'humidity': 50.65, 'timestamp': '2024-11-03 15:33:07'}
[2024-11-03T15:33:08.475+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.83, 'humidity': 50.65, 'timestamp': '2024-11-03 15:33:07'}generating
[2024-11-03T15:33:08.476+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.57, 'humidity': 50.8, 'timestamp': '2024-11-03 15:33:08'}
[2024-11-03T15:33:09.490+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.57, 'humidity': 50.8, 'timestamp': '2024-11-03 15:33:08'}generating
[2024-11-03T15:33:09.494+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.19, 'humidity': 50.04, 'timestamp': '2024-11-03 15:33:09'}
[2024-11-03T15:33:10.531+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.19, 'humidity': 50.04, 'timestamp': '2024-11-03 15:33:09'}generating
[2024-11-03T15:33:10.532+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.53, 'humidity': 50.49, 'timestamp': '2024-11-03 15:33:10'}
[2024-11-03T15:33:11.542+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.53, 'humidity': 50.49, 'timestamp': '2024-11-03 15:33:10'}generating
[2024-11-03T15:33:11.545+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.64, 'humidity': 50.44, 'timestamp': '2024-11-03 15:33:11'}
[2024-11-03T15:33:12.555+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.64, 'humidity': 50.44, 'timestamp': '2024-11-03 15:33:11'}generating
[2024-11-03T15:33:12.556+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.63, 'humidity': 50.59, 'timestamp': '2024-11-03 15:33:12'}
[2024-11-03T15:33:13.568+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.63, 'humidity': 50.59, 'timestamp': '2024-11-03 15:33:12'}generating
[2024-11-03T15:33:13.569+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.37, 'humidity': 50.21, 'timestamp': '2024-11-03 15:33:13'}
[2024-11-03T15:33:14.576+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.37, 'humidity': 50.21, 'timestamp': '2024-11-03 15:33:13'}generating
[2024-11-03T15:33:14.577+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.67, 'humidity': 50.81, 'timestamp': '2024-11-03 15:33:14'}
[2024-11-03T15:33:15.583+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.67, 'humidity': 50.81, 'timestamp': '2024-11-03 15:33:14'}generating
[2024-11-03T15:33:15.584+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.28, 'humidity': 50.24, 'timestamp': '2024-11-03 15:33:15'}
[2024-11-03T15:33:16.591+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.28, 'humidity': 50.24, 'timestamp': '2024-11-03 15:33:15'}generating
[2024-11-03T15:33:16.591+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.85, 'humidity': 50.61, 'timestamp': '2024-11-03 15:33:16'}
[2024-11-03T15:33:17.598+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.85, 'humidity': 50.61, 'timestamp': '2024-11-03 15:33:16'}generating
[2024-11-03T15:33:17.599+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.02, 'humidity': 50.64, 'timestamp': '2024-11-03 15:33:17'}
[2024-11-03T15:33:18.612+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.02, 'humidity': 50.64, 'timestamp': '2024-11-03 15:33:17'}generating
[2024-11-03T15:33:18.622+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.89, 'humidity': 50.01, 'timestamp': '2024-11-03 15:33:18'}
[2024-11-03T15:33:19.870+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.89, 'humidity': 50.01, 'timestamp': '2024-11-03 15:33:18'}generating
[2024-11-03T15:33:19.871+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.93, 'humidity': 50.91, 'timestamp': '2024-11-03 15:33:19'}
[2024-11-03T15:33:20.973+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.93, 'humidity': 50.91, 'timestamp': '2024-11-03 15:33:19'}generating
