[2024-11-03T15:36:02.000+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T15:36:02.292+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:33:00+00:00 [queued]>
[2024-11-03T15:36:02.312+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:33:00+00:00 [queued]>
[2024-11-03T15:36:02.312+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T15:36:02.342+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 15:33:00+00:00
[2024-11-03T15:36:02.356+0000] {standard_task_runner.py:64} INFO - Started process 3865 to run task
[2024-11-03T15:36:02.363+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T15:33:00+00:00', '--job-id', '566', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpct0ja7tc']
[2024-11-03T15:36:02.368+0000] {standard_task_runner.py:91} INFO - Job 566: Subtask fetch_data_from_api
[2024-11-03T15:36:02.488+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:33:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T15:36:02.752+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T15:33:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T15:33:00+00:00'
[2024-11-03T15:36:02.754+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T15:36:02.785+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T15:36:02.785+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.9, 'humidity': 50.94, 'timestamp': '2024-11-03 15:36:02'}
[2024-11-03T15:36:02.788+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T15:36:02.791+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T15:36:02.798+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T15:36:02.799+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T15:36:02.800+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T15:36:03.805+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.9, 'humidity': 50.94, 'timestamp': '2024-11-03 15:36:02'}generating
[2024-11-03T15:36:03.806+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.73, 'humidity': 50.2, 'timestamp': '2024-11-03 15:36:03'}
[2024-11-03T15:36:04.813+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.73, 'humidity': 50.2, 'timestamp': '2024-11-03 15:36:03'}generating
[2024-11-03T15:36:04.814+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.72, 'humidity': 50.92, 'timestamp': '2024-11-03 15:36:04'}
[2024-11-03T15:36:05.827+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.72, 'humidity': 50.92, 'timestamp': '2024-11-03 15:36:04'}generating
[2024-11-03T15:36:05.830+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.04, 'humidity': 50.2, 'timestamp': '2024-11-03 15:36:05'}
