[2024-11-03T15:57:03.116+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T15:57:03.387+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:54:00+00:00 [queued]>
[2024-11-03T15:57:03.412+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:54:00+00:00 [queued]>
[2024-11-03T15:57:03.413+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T15:57:03.443+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 15:54:00+00:00
[2024-11-03T15:57:03.458+0000] {standard_task_runner.py:64} INFO - Started process 4565 to run task
[2024-11-03T15:57:03.466+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T15:54:00+00:00', '--job-id', '587', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpnwb_h678']
[2024-11-03T15:57:03.472+0000] {standard_task_runner.py:91} INFO - Job 587: Subtask fetch_data_from_api
[2024-11-03T15:57:03.592+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:54:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T15:57:03.812+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T15:54:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T15:54:00+00:00'
[2024-11-03T15:57:03.813+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T15:57:03.865+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T15:57:03.868+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.78, 'humidity': 50.39, 'timestamp': '2024-11-03 15:57:03'}
[2024-11-03T15:57:03.871+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T15:57:03.872+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T15:57:03.881+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T15:57:03.882+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T15:57:03.883+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T15:57:04.906+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.78, 'humidity': 50.39, 'timestamp': '2024-11-03 15:57:03'}generating
[2024-11-03T15:57:04.911+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.8, 'humidity': 50.94, 'timestamp': '2024-11-03 15:57:04'}
[2024-11-03T15:57:05.932+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.8, 'humidity': 50.94, 'timestamp': '2024-11-03 15:57:04'}generating
[2024-11-03T15:57:05.936+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.59, 'humidity': 50.29, 'timestamp': '2024-11-03 15:57:05'}
[2024-11-03T15:57:06.963+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.59, 'humidity': 50.29, 'timestamp': '2024-11-03 15:57:05'}generating
[2024-11-03T15:57:06.964+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.37, 'humidity': 50.74, 'timestamp': '2024-11-03 15:57:06'}
