[2024-11-03T15:39:02.406+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T15:39:02.685+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:36:00+00:00 [queued]>
[2024-11-03T15:39:02.707+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:36:00+00:00 [queued]>
[2024-11-03T15:39:02.708+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T15:39:02.747+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 15:36:00+00:00
[2024-11-03T15:39:02.762+0000] {standard_task_runner.py:64} INFO - Started process 3962 to run task
[2024-11-03T15:39:02.771+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T15:36:00+00:00', '--job-id', '569', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpvod1w2xe']
[2024-11-03T15:39:02.777+0000] {standard_task_runner.py:91} INFO - Job 569: Subtask fetch_data_from_api
[2024-11-03T15:39:02.968+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:36:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T15:39:03.205+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T15:36:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T15:36:00+00:00'
[2024-11-03T15:39:03.207+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T15:39:03.227+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T15:39:03.230+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.54, 'humidity': 50.86, 'timestamp': '2024-11-03 15:39:03'}
[2024-11-03T15:39:03.232+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T15:39:03.235+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T15:39:03.247+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T15:39:03.249+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T15:39:03.250+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T15:39:04.257+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.54, 'humidity': 50.86, 'timestamp': '2024-11-03 15:39:03'}generating
[2024-11-03T15:39:04.258+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.3, 'humidity': 50.09, 'timestamp': '2024-11-03 15:39:04'}
[2024-11-03T15:39:05.264+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.3, 'humidity': 50.09, 'timestamp': '2024-11-03 15:39:04'}generating
[2024-11-03T15:39:05.264+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.34, 'humidity': 50.75, 'timestamp': '2024-11-03 15:39:05'}
[2024-11-03T15:39:06.279+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.34, 'humidity': 50.75, 'timestamp': '2024-11-03 15:39:05'}generating
[2024-11-03T15:39:06.280+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.83, 'humidity': 50.97, 'timestamp': '2024-11-03 15:39:06'}
