[2024-11-03T15:48:03.591+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T15:48:03.878+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:45:00+00:00 [queued]>
[2024-11-03T15:48:03.902+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:45:00+00:00 [queued]>
[2024-11-03T15:48:03.902+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T15:48:03.933+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 15:45:00+00:00
[2024-11-03T15:48:03.947+0000] {standard_task_runner.py:64} INFO - Started process 4264 to run task
[2024-11-03T15:48:03.955+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T15:45:00+00:00', '--job-id', '578', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp84d9oayq']
[2024-11-03T15:48:03.960+0000] {standard_task_runner.py:91} INFO - Job 578: Subtask fetch_data_from_api
[2024-11-03T15:48:04.093+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T15:45:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T15:48:04.332+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T15:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T15:45:00+00:00'
[2024-11-03T15:48:04.336+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T15:48:04.375+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T15:48:04.376+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.65, 'humidity': 50.24, 'timestamp': '2024-11-03 15:48:04'}
[2024-11-03T15:48:04.379+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T15:48:04.381+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T15:48:04.389+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T15:48:04.393+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T15:48:04.397+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T15:48:05.411+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.65, 'humidity': 50.24, 'timestamp': '2024-11-03 15:48:04'}generating
[2024-11-03T15:48:05.413+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.69, 'humidity': 50.02, 'timestamp': '2024-11-03 15:48:05'}
[2024-11-03T15:48:06.433+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.69, 'humidity': 50.02, 'timestamp': '2024-11-03 15:48:05'}generating
[2024-11-03T15:48:06.434+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.33, 'humidity': 50.63, 'timestamp': '2024-11-03 15:48:06'}
[2024-11-03T15:48:07.449+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.33, 'humidity': 50.63, 'timestamp': '2024-11-03 15:48:06'}generating
[2024-11-03T15:48:07.449+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.84, 'humidity': 50.23, 'timestamp': '2024-11-03 15:48:07'}
[2024-11-03T15:48:08.470+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.84, 'humidity': 50.23, 'timestamp': '2024-11-03 15:48:07'}generating
[2024-11-03T15:48:08.471+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.72, 'humidity': 50.48, 'timestamp': '2024-11-03 15:48:08'}
[2024-11-03T15:48:09.497+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.72, 'humidity': 50.48, 'timestamp': '2024-11-03 15:48:08'}generating
[2024-11-03T15:48:09.499+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.33, 'humidity': 50.91, 'timestamp': '2024-11-03 15:48:09'}
[2024-11-03T15:48:10.522+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.33, 'humidity': 50.91, 'timestamp': '2024-11-03 15:48:09'}generating
[2024-11-03T15:48:10.523+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.39, 'humidity': 50.55, 'timestamp': '2024-11-03 15:48:10'}
[2024-11-03T15:48:11.531+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.39, 'humidity': 50.55, 'timestamp': '2024-11-03 15:48:10'}generating
[2024-11-03T15:48:11.532+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.09, 'humidity': 50.15, 'timestamp': '2024-11-03 15:48:11'}
[2024-11-03T15:48:12.548+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.09, 'humidity': 50.15, 'timestamp': '2024-11-03 15:48:11'}generating
[2024-11-03T15:48:12.550+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.76, 'humidity': 50.23, 'timestamp': '2024-11-03 15:48:12'}
[2024-11-03T15:48:13.559+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.76, 'humidity': 50.23, 'timestamp': '2024-11-03 15:48:12'}generating
[2024-11-03T15:48:13.562+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.86, 'humidity': 50.22, 'timestamp': '2024-11-03 15:48:13'}
[2024-11-03T15:48:14.571+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.86, 'humidity': 50.22, 'timestamp': '2024-11-03 15:48:13'}generating
[2024-11-03T15:48:14.572+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.15, 'humidity': 50.03, 'timestamp': '2024-11-03 15:48:14'}
[2024-11-03T15:48:15.581+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.15, 'humidity': 50.03, 'timestamp': '2024-11-03 15:48:14'}generating
[2024-11-03T15:48:15.582+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.83, 'humidity': 50.29, 'timestamp': '2024-11-03 15:48:15'}
[2024-11-03T15:48:16.588+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.83, 'humidity': 50.29, 'timestamp': '2024-11-03 15:48:15'}generating
[2024-11-03T15:48:16.589+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.27, 'humidity': 50.89, 'timestamp': '2024-11-03 15:48:16'}
[2024-11-03T15:48:17.595+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.27, 'humidity': 50.89, 'timestamp': '2024-11-03 15:48:16'}generating
[2024-11-03T15:48:17.597+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.19, 'humidity': 50.27, 'timestamp': '2024-11-03 15:48:17'}
[2024-11-03T15:48:18.607+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.19, 'humidity': 50.27, 'timestamp': '2024-11-03 15:48:17'}generating
[2024-11-03T15:48:18.608+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.13, 'humidity': 50.89, 'timestamp': '2024-11-03 15:48:18'}
[2024-11-03T15:48:19.615+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.13, 'humidity': 50.89, 'timestamp': '2024-11-03 15:48:18'}generating
[2024-11-03T15:48:19.616+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.78, 'humidity': 50.04, 'timestamp': '2024-11-03 15:48:19'}
[2024-11-03T15:48:20.622+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.78, 'humidity': 50.04, 'timestamp': '2024-11-03 15:48:19'}generating
[2024-11-03T15:48:20.622+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.69, 'humidity': 50.62, 'timestamp': '2024-11-03 15:48:20'}
