[2024-11-03T16:15:02.896+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T16:15:03.228+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:12:00+00:00 [queued]>
[2024-11-03T16:15:03.246+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:12:00+00:00 [queued]>
[2024-11-03T16:15:03.247+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T16:15:03.282+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 16:12:00+00:00
[2024-11-03T16:15:03.301+0000] {standard_task_runner.py:64} INFO - Started process 5166 to run task
[2024-11-03T16:15:03.310+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T16:12:00+00:00', '--job-id', '605', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp8c0oiwb3']
[2024-11-03T16:15:03.321+0000] {standard_task_runner.py:91} INFO - Job 605: Subtask fetch_data_from_api
[2024-11-03T16:15:03.429+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:12:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T16:15:03.659+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T16:12:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T16:12:00+00:00'
[2024-11-03T16:15:03.661+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T16:15:03.681+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T16:15:03.682+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.24, 'humidity': 50.13, 'timestamp': '2024-11-03 16:15:03'}
[2024-11-03T16:15:03.685+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T16:15:03.702+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T16:15:03.709+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T16:15:03.710+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T16:15:03.711+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T16:15:04.716+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.24, 'humidity': 50.13, 'timestamp': '2024-11-03 16:15:03'}generating
[2024-11-03T16:15:04.718+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.99, 'timestamp': '2024-11-03 16:15:04'}
[2024-11-03T16:15:05.745+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.91, 'humidity': 50.99, 'timestamp': '2024-11-03 16:15:04'}generating
[2024-11-03T16:15:05.749+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.74, 'humidity': 50.12, 'timestamp': '2024-11-03 16:15:05'}
[2024-11-03T16:15:06.821+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.74, 'humidity': 50.12, 'timestamp': '2024-11-03 16:15:05'}generating
[2024-11-03T16:15:06.822+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.67, 'humidity': 50.16, 'timestamp': '2024-11-03 16:15:06'}
[2024-11-03T16:15:07.854+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.67, 'humidity': 50.16, 'timestamp': '2024-11-03 16:15:06'}generating
[2024-11-03T16:15:07.857+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.98, 'humidity': 50.77, 'timestamp': '2024-11-03 16:15:07'}
[2024-11-03T16:15:08.883+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.98, 'humidity': 50.77, 'timestamp': '2024-11-03 16:15:07'}generating
[2024-11-03T16:15:08.900+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.55, 'humidity': 50.99, 'timestamp': '2024-11-03 16:15:08'}
[2024-11-03T16:15:09.934+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.55, 'humidity': 50.99, 'timestamp': '2024-11-03 16:15:08'}generating
[2024-11-03T16:15:09.935+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.46, 'humidity': 50.03, 'timestamp': '2024-11-03 16:15:09'}
[2024-11-03T16:15:10.941+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.46, 'humidity': 50.03, 'timestamp': '2024-11-03 16:15:09'}generating
[2024-11-03T16:15:10.941+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.8, 'humidity': 50.43, 'timestamp': '2024-11-03 16:15:10'}
[2024-11-03T16:15:11.950+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.8, 'humidity': 50.43, 'timestamp': '2024-11-03 16:15:10'}generating
[2024-11-03T16:15:11.950+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.89, 'humidity': 50.31, 'timestamp': '2024-11-03 16:15:11'}
[2024-11-03T16:15:12.966+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.89, 'humidity': 50.31, 'timestamp': '2024-11-03 16:15:11'}generating
[2024-11-03T16:15:12.967+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.28, 'humidity': 50.93, 'timestamp': '2024-11-03 16:15:12'}
[2024-11-03T16:15:13.975+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.28, 'humidity': 50.93, 'timestamp': '2024-11-03 16:15:12'}generating
[2024-11-03T16:15:13.976+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.86, 'humidity': 50.07, 'timestamp': '2024-11-03 16:15:13'}
[2024-11-03T16:15:14.988+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.86, 'humidity': 50.07, 'timestamp': '2024-11-03 16:15:13'}generating
[2024-11-03T16:15:14.990+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.14, 'humidity': 50.09, 'timestamp': '2024-11-03 16:15:14'}
[2024-11-03T16:15:15.997+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.14, 'humidity': 50.09, 'timestamp': '2024-11-03 16:15:14'}generating
[2024-11-03T16:15:15.999+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.29, 'humidity': 50.57, 'timestamp': '2024-11-03 16:15:15'}
[2024-11-03T16:15:17.008+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.29, 'humidity': 50.57, 'timestamp': '2024-11-03 16:15:15'}generating
[2024-11-03T16:15:17.008+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.02, 'humidity': 50.04, 'timestamp': '2024-11-03 16:15:17'}
