[2024-11-03T16:21:02.773+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T16:21:03.044+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:18:00+00:00 [queued]>
[2024-11-03T16:21:03.062+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:18:00+00:00 [queued]>
[2024-11-03T16:21:03.063+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T16:21:03.102+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 16:18:00+00:00
[2024-11-03T16:21:03.115+0000] {standard_task_runner.py:64} INFO - Started process 5370 to run task
[2024-11-03T16:21:03.122+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T16:18:00+00:00', '--job-id', '611', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpwhtdwjig']
[2024-11-03T16:21:03.127+0000] {standard_task_runner.py:91} INFO - Job 611: Subtask fetch_data_from_api
[2024-11-03T16:21:03.257+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:18:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T16:21:03.533+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T16:18:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T16:18:00+00:00'
[2024-11-03T16:21:03.535+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T16:21:03.562+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T16:21:03.563+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.57, 'humidity': 50.33, 'timestamp': '2024-11-03 16:21:03'}
[2024-11-03T16:21:03.567+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T16:21:03.572+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T16:21:03.589+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T16:21:03.592+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T16:21:03.592+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T16:21:04.600+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.57, 'humidity': 50.33, 'timestamp': '2024-11-03 16:21:03'}generating
[2024-11-03T16:21:04.600+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.46, 'humidity': 50.68, 'timestamp': '2024-11-03 16:21:04'}
[2024-11-03T16:21:05.616+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.46, 'humidity': 50.68, 'timestamp': '2024-11-03 16:21:04'}generating
[2024-11-03T16:21:05.619+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.99, 'humidity': 50.34, 'timestamp': '2024-11-03 16:21:05'}
[2024-11-03T16:21:06.628+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.99, 'humidity': 50.34, 'timestamp': '2024-11-03 16:21:05'}generating
[2024-11-03T16:21:06.629+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.78, 'humidity': 50.81, 'timestamp': '2024-11-03 16:21:06'}
[2024-11-03T16:21:07.641+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.78, 'humidity': 50.81, 'timestamp': '2024-11-03 16:21:06'}generating
[2024-11-03T16:21:07.643+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.73, 'humidity': 50.78, 'timestamp': '2024-11-03 16:21:07'}
[2024-11-03T16:21:08.663+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.73, 'humidity': 50.78, 'timestamp': '2024-11-03 16:21:07'}generating
[2024-11-03T16:21:08.664+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.78, 'humidity': 50.38, 'timestamp': '2024-11-03 16:21:08'}
[2024-11-03T16:21:09.673+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.78, 'humidity': 50.38, 'timestamp': '2024-11-03 16:21:08'}generating
[2024-11-03T16:21:09.674+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.02, 'humidity': 50.74, 'timestamp': '2024-11-03 16:21:09'}
[2024-11-03T16:21:10.682+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.02, 'humidity': 50.74, 'timestamp': '2024-11-03 16:21:09'}generating
[2024-11-03T16:21:10.683+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.66, 'humidity': 50.63, 'timestamp': '2024-11-03 16:21:10'}
[2024-11-03T16:21:11.698+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.66, 'humidity': 50.63, 'timestamp': '2024-11-03 16:21:10'}generating
[2024-11-03T16:21:11.699+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.5, 'humidity': 50.8, 'timestamp': '2024-11-03 16:21:11'}
[2024-11-03T16:21:12.708+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.5, 'humidity': 50.8, 'timestamp': '2024-11-03 16:21:11'}generating
[2024-11-03T16:21:12.709+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.31, 'humidity': 50.27, 'timestamp': '2024-11-03 16:21:12'}
[2024-11-03T16:21:13.721+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.31, 'humidity': 50.27, 'timestamp': '2024-11-03 16:21:12'}generating
[2024-11-03T16:21:13.722+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.29, 'humidity': 50.25, 'timestamp': '2024-11-03 16:21:13'}
[2024-11-03T16:21:14.730+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.29, 'humidity': 50.25, 'timestamp': '2024-11-03 16:21:13'}generating
[2024-11-03T16:21:14.731+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.51, 'humidity': 50.22, 'timestamp': '2024-11-03 16:21:14'}
[2024-11-03T16:21:15.736+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.51, 'humidity': 50.22, 'timestamp': '2024-11-03 16:21:14'}generating
[2024-11-03T16:21:15.737+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.07, 'humidity': 50.37, 'timestamp': '2024-11-03 16:21:15'}
[2024-11-03T16:21:16.744+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.07, 'humidity': 50.37, 'timestamp': '2024-11-03 16:21:15'}generating
[2024-11-03T16:21:16.745+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.55, 'humidity': 50.74, 'timestamp': '2024-11-03 16:21:16'}
[2024-11-03T16:21:17.752+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.55, 'humidity': 50.74, 'timestamp': '2024-11-03 16:21:16'}generating
[2024-11-03T16:21:17.752+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.57, 'humidity': 50.06, 'timestamp': '2024-11-03 16:21:17'}
[2024-11-03T16:21:18.757+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.57, 'humidity': 50.06, 'timestamp': '2024-11-03 16:21:17'}generating
[2024-11-03T16:21:18.758+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.31, 'humidity': 50.08, 'timestamp': '2024-11-03 16:21:18'}
[2024-11-03T16:21:19.765+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.31, 'humidity': 50.08, 'timestamp': '2024-11-03 16:21:18'}generating
[2024-11-03T16:21:19.765+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.76, 'humidity': 50.09, 'timestamp': '2024-11-03 16:21:19'}
[2024-11-03T16:21:20.771+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.76, 'humidity': 50.09, 'timestamp': '2024-11-03 16:21:19'}generating
[2024-11-03T16:21:20.771+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.24, 'humidity': 50.91, 'timestamp': '2024-11-03 16:21:20'}
[2024-11-03T16:21:21.777+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.24, 'humidity': 50.91, 'timestamp': '2024-11-03 16:21:20'}generating
[2024-11-03T16:21:21.777+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.5, 'humidity': 50.54, 'timestamp': '2024-11-03 16:21:21'}
[2024-11-03T16:21:22.783+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.5, 'humidity': 50.54, 'timestamp': '2024-11-03 16:21:21'}generating
[2024-11-03T16:21:22.783+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.01, 'humidity': 50.86, 'timestamp': '2024-11-03 16:21:22'}
[2024-11-03T16:21:23.789+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.01, 'humidity': 50.86, 'timestamp': '2024-11-03 16:21:22'}generating
[2024-11-03T16:21:23.790+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.64, 'humidity': 50.55, 'timestamp': '2024-11-03 16:21:23'}
[2024-11-03T16:21:24.797+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.64, 'humidity': 50.55, 'timestamp': '2024-11-03 16:21:23'}generating
[2024-11-03T16:21:24.798+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.42, 'humidity': 50.74, 'timestamp': '2024-11-03 16:21:24'}
[2024-11-03T16:21:25.804+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.42, 'humidity': 50.74, 'timestamp': '2024-11-03 16:21:24'}generating
[2024-11-03T16:21:25.804+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.34, 'humidity': 50.66, 'timestamp': '2024-11-03 16:21:25'}
[2024-11-03T16:21:26.809+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.34, 'humidity': 50.66, 'timestamp': '2024-11-03 16:21:25'}generating
[2024-11-03T16:21:26.809+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.22, 'humidity': 50.22, 'timestamp': '2024-11-03 16:21:26'}
[2024-11-03T16:21:27.814+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.22, 'humidity': 50.22, 'timestamp': '2024-11-03 16:21:26'}generating
[2024-11-03T16:21:27.815+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.75, 'humidity': 50.19, 'timestamp': '2024-11-03 16:21:27'}
[2024-11-03T16:21:28.821+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.75, 'humidity': 50.19, 'timestamp': '2024-11-03 16:21:27'}generating
[2024-11-03T16:21:28.822+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.03, 'humidity': 50.39, 'timestamp': '2024-11-03 16:21:28'}
[2024-11-03T16:21:29.831+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.03, 'humidity': 50.39, 'timestamp': '2024-11-03 16:21:28'}generating
[2024-11-03T16:21:29.831+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.5, 'humidity': 50.95, 'timestamp': '2024-11-03 16:21:29'}
[2024-11-03T16:21:30.844+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.5, 'humidity': 50.95, 'timestamp': '2024-11-03 16:21:29'}generating
[2024-11-03T16:21:30.847+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.32, 'humidity': 50.18, 'timestamp': '2024-11-03 16:21:30'}
[2024-11-03T16:21:31.857+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.32, 'humidity': 50.18, 'timestamp': '2024-11-03 16:21:30'}generating
[2024-11-03T16:21:31.859+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.57, 'humidity': 50.82, 'timestamp': '2024-11-03 16:21:31'}
[2024-11-03T16:21:32.945+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.57, 'humidity': 50.82, 'timestamp': '2024-11-03 16:21:31'}generating
[2024-11-03T16:21:32.962+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.07, 'humidity': 50.02, 'timestamp': '2024-11-03 16:21:32'}
[2024-11-03T16:21:34.041+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.07, 'humidity': 50.02, 'timestamp': '2024-11-03 16:21:32'}generating
[2024-11-03T16:21:34.041+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.91, 'humidity': 50.35, 'timestamp': '2024-11-03 16:21:34'}
[2024-11-03T16:21:35.111+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.91, 'humidity': 50.35, 'timestamp': '2024-11-03 16:21:34'}generating
[2024-11-03T16:21:35.112+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.36, 'humidity': 50.73, 'timestamp': '2024-11-03 16:21:35'}
[2024-11-03T16:21:36.118+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.36, 'humidity': 50.73, 'timestamp': '2024-11-03 16:21:35'}generating
[2024-11-03T16:21:36.119+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.42, 'humidity': 50.69, 'timestamp': '2024-11-03 16:21:36'}
