[2024-11-03T16:46:00.608+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T16:46:01.102+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:42:00+00:00 [queued]>
[2024-11-03T16:46:01.118+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:42:00+00:00 [queued]>
[2024-11-03T16:46:01.119+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T16:46:02.511+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 16:42:00+00:00
[2024-11-03T16:46:02.791+0000] {standard_task_runner.py:64} INFO - Started process 1064 to run task
[2024-11-03T16:46:02.736+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T16:42:00+00:00', '--job-id', '638', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpi6f1dbmm']
[2024-11-03T16:46:02.842+0000] {standard_task_runner.py:91} INFO - Job 638: Subtask fetch_data_from_api
[2024-11-03T16:46:06.111+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:42:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T16:46:09.564+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T16:42:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T16:42:00+00:00'
[2024-11-03T16:46:09.568+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T16:46:09.823+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T16:46:09.829+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.47, 'humidity': 50.05, 'timestamp': '2024-11-03 16:46:09'}
[2024-11-03T16:46:09.832+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T16:46:09.871+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T16:46:10.215+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T16:46:10.217+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T16:46:10.218+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T16:46:11.378+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.47, 'humidity': 50.05, 'timestamp': '2024-11-03 16:46:09'}generating
[2024-11-03T16:46:11.397+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.44, 'humidity': 50.86, 'timestamp': '2024-11-03 16:46:11'}
[2024-11-03T16:46:12.585+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.44, 'humidity': 50.86, 'timestamp': '2024-11-03 16:46:11'}generating
[2024-11-03T16:46:12.604+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.75, 'humidity': 50.04, 'timestamp': '2024-11-03 16:46:12'}
[2024-11-03T16:46:13.696+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.75, 'humidity': 50.04, 'timestamp': '2024-11-03 16:46:12'}generating
[2024-11-03T16:46:13.697+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.03, 'humidity': 50.58, 'timestamp': '2024-11-03 16:46:13'}
