[2024-11-03T16:48:11.027+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T16:48:11.170+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:45:00+00:00 [queued]>
[2024-11-03T16:48:11.185+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:45:00+00:00 [queued]>
[2024-11-03T16:48:11.186+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T16:48:11.605+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 16:45:00+00:00
[2024-11-03T16:48:11.634+0000] {standard_task_runner.py:64} INFO - Started process 1198 to run task
[2024-11-03T16:48:11.675+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T16:45:00+00:00', '--job-id', '641', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmp2vx22qcf']
[2024-11-03T16:48:11.687+0000] {standard_task_runner.py:91} INFO - Job 641: Subtask fetch_data_from_api
[2024-11-03T16:48:12.213+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:45:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T16:48:12.731+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T16:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T16:45:00+00:00'
[2024-11-03T16:48:12.737+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T16:48:12.883+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T16:48:12.884+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.38, 'humidity': 50.41, 'timestamp': '2024-11-03 16:48:12'}
[2024-11-03T16:48:12.893+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T16:48:12.904+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T16:48:12.938+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T16:48:12.947+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T16:48:12.949+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T16:48:13.963+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.38, 'humidity': 50.41, 'timestamp': '2024-11-03 16:48:12'}generating
[2024-11-03T16:48:13.964+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.78, 'humidity': 50.76, 'timestamp': '2024-11-03 16:48:13'}
[2024-11-03T16:48:14.988+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.78, 'humidity': 50.76, 'timestamp': '2024-11-03 16:48:13'}generating
[2024-11-03T16:48:14.992+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.64, 'humidity': 50.85, 'timestamp': '2024-11-03 16:48:14'}
[2024-11-03T16:48:16.021+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.64, 'humidity': 50.85, 'timestamp': '2024-11-03 16:48:14'}generating
[2024-11-03T16:48:16.024+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.36, 'humidity': 50.94, 'timestamp': '2024-11-03 16:48:16'}
[2024-11-03T16:48:17.071+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.36, 'humidity': 50.94, 'timestamp': '2024-11-03 16:48:16'}generating
[2024-11-03T16:48:17.074+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.78, 'humidity': 50.57, 'timestamp': '2024-11-03 16:48:17'}
[2024-11-03T16:48:18.085+0000] {logging_mixin.py:188} INFO - {'sensor_id': 5, 'temperature': 29.78, 'humidity': 50.57, 'timestamp': '2024-11-03 16:48:17'}generating
[2024-11-03T16:48:18.086+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.82, 'humidity': 50.29, 'timestamp': '2024-11-03 16:48:18'}
[2024-11-03T16:48:19.106+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.82, 'humidity': 50.29, 'timestamp': '2024-11-03 16:48:18'}generating
[2024-11-03T16:48:19.116+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.25, 'humidity': 50.45, 'timestamp': '2024-11-03 16:48:19'}
