[2024-11-03T16:54:08.262+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T16:54:08.571+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:51:00+00:00 [queued]>
[2024-11-03T16:54:08.757+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:51:00+00:00 [queued]>
[2024-11-03T16:54:08.775+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T16:54:09.962+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 16:51:00+00:00
[2024-11-03T16:54:09.985+0000] {standard_task_runner.py:64} INFO - Started process 1866 to run task
[2024-11-03T16:54:10.062+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T16:51:00+00:00', '--job-id', '650', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpjsuqib_a']
[2024-11-03T16:54:10.083+0000] {standard_task_runner.py:91} INFO - Job 650: Subtask fetch_data_from_api
[2024-11-03T16:54:10.443+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T16:51:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T16:54:11.187+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T16:51:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T16:51:00+00:00'
[2024-11-03T16:54:11.189+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T16:54:11.230+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T16:54:11.231+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.27, 'humidity': 50.74, 'timestamp': '2024-11-03 16:54:11'}
[2024-11-03T16:54:11.233+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T16:54:11.238+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T16:54:11.273+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T16:54:11.291+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T16:54:11.294+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T16:54:13.102+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.27, 'humidity': 50.74, 'timestamp': '2024-11-03 16:54:11'}generating
[2024-11-03T16:54:13.193+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.21, 'humidity': 50.95, 'timestamp': '2024-11-03 16:54:13'}
[2024-11-03T16:54:14.348+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.21, 'humidity': 50.95, 'timestamp': '2024-11-03 16:54:13'}generating
[2024-11-03T16:54:14.352+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.79, 'humidity': 50.49, 'timestamp': '2024-11-03 16:54:14'}
[2024-11-03T16:54:15.368+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.79, 'humidity': 50.49, 'timestamp': '2024-11-03 16:54:14'}generating
[2024-11-03T16:54:15.372+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.97, 'humidity': 50.72, 'timestamp': '2024-11-03 16:54:15'}
