[2024-11-03T17:21:10.481+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-03T17:21:11.470+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T17:18:00+00:00 [queued]>
[2024-11-03T17:21:11.544+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T17:18:00+00:00 [queued]>
[2024-11-03T17:21:11.551+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-03T17:21:12.639+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_data_from_api> on 2024-11-03 17:18:00+00:00
[2024-11-03T17:21:12.731+0000] {standard_task_runner.py:64} INFO - Started process 3129 to run task
[2024-11-03T17:21:12.765+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_data', 'fetch_data_from_api', 'scheduled__2024-11-03T17:18:00+00:00', '--job-id', '679', '--raw', '--subdir', 'DAGS_FOLDER/***_producer.py', '--cfg-path', '/tmp/tmpqjjht_he']
[2024-11-03T17:21:12.797+0000] {standard_task_runner.py:91} INFO - Job 679: Subtask fetch_data_from_api
[2024-11-03T17:21:13.225+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_data.fetch_data_from_api scheduled__2024-11-03T17:18:00+00:00 [running]> on host 103054e6fa6f
[2024-11-03T17:21:13.903+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Bich Ly' AIRFLOW_CTX_DAG_ID='fetch_data' AIRFLOW_CTX_TASK_ID='fetch_data_from_api' AIRFLOW_CTX_EXECUTION_DATE='2024-11-03T17:18:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-03T17:18:00+00:00'
[2024-11-03T17:21:13.912+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-03T17:21:13.988+0000] {logging_mixin.py:188} INFO - generating
[2024-11-03T17:21:13.990+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.89, 'humidity': 50.15, 'timestamp': '2024-11-03 17:21:13'}
[2024-11-03T17:21:13.995+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T17:21:13.996+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T17:21:14.018+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: connecting to 10.0.2.15:9092 [('10.0.2.15', 9092) IPv4]
[2024-11-03T17:21:14.019+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=10.0.2.15:9092 <connecting> [IPv4 ('10.0.2.15', 9092)]>: Connection complete.
[2024-11-03T17:21:14.026+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=10.0.2.15:9092 <connected> [IPv4 ('10.0.2.15', 9092)]>: Closing connection. 
[2024-11-03T17:21:15.055+0000] {logging_mixin.py:188} INFO - {'sensor_id': 1, 'temperature': 29.89, 'humidity': 50.15, 'timestamp': '2024-11-03 17:21:13'}generating
[2024-11-03T17:21:15.064+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.8, 'humidity': 50.92, 'timestamp': '2024-11-03 17:21:15'}
[2024-11-03T17:21:16.088+0000] {logging_mixin.py:188} INFO - {'sensor_id': 2, 'temperature': 29.8, 'humidity': 50.92, 'timestamp': '2024-11-03 17:21:15'}generating
[2024-11-03T17:21:16.094+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.16, 'humidity': 50.59, 'timestamp': '2024-11-03 17:21:16'}
[2024-11-03T17:21:17.148+0000] {logging_mixin.py:188} INFO - {'sensor_id': 3, 'temperature': 29.16, 'humidity': 50.59, 'timestamp': '2024-11-03 17:21:16'}generating
[2024-11-03T17:21:17.156+0000] {logging_mixin.py:188} INFO - {'sensor_id': 4, 'temperature': 29.92, 'humidity': 50.91, 'timestamp': '2024-11-03 17:21:17'}
